,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2024/01/01,Mon,Singapore,Sweet 'N Sour Fish (Double) Meal,10.75,8.15,Promotion Meals,Regular Menu
2,2024/01/01,Mon,Singapore,Sweet 'N Sour Chicken (Single) Meal,10.15,7.69,Promotion Meals,Regular Menu
3,2024/01/01,Mon,Singapore,2xVM: Sweet 'N Sour Fish(Dbl) EVM + McSpicy® EVM,20.20,15.31,Promotion Meals,Regular Menu
4,2024/01/01,Mon,Singapore,Sweet 'N Sour Fish (Double) Feast,14.35,10.87,Promotion Meals,Regular Menu
5,2024/01/01,Mon,Singapore,Sweet 'N Sour Chicken (Single) Feast,13.75,10.42,Promotion Meals,Regular Menu
6,2024/01/01,Mon,Singapore,Happy Sharing Box D: 4pc Ha! Drumlets + 6pc Chicken McNuggets®,10.70,8.11,Promotion Meals,Regular Menu
7,2024/01/01,Mon,Singapore,Ha! Chicken Drumlets (2pc),3.60,2.73,Promotion Meals,Regular Menu
8,2024/01/01,Mon,Singapore,Pineapple Coconut Frappé,5.25,3.98,Promotion Meals,Regular Menu
9,2024/01/01,Mon,Singapore,Dark Chocolate Sea Salt Frappé,5.55,4.21,Promotion Meals,Regular Menu
10,2024/01/01,Mon,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.95,17.39,Chicken McCrispy®,Regular Menu
11,2024/01/01,Mon,Singapore,Chicken McCrispy® (2pc) Spicy Extra Value Meal,10.05,7.62,Chicken McCrispy®,Regular Menu
12,2024/01/01,Mon,Singapore,Happy Sharing Box D: 4pc Ha! Drumlets + 6pc Chicken McNuggets®,10.70,8.11,Sharing,Regular Menu
13,2024/01/01,Mon,Singapore,Ha! Chicken Drumlets (2pc),3.60,2.73,Sharing,Regular Menu
14,2024/01/01,Mon,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.95,17.39,Sharing,Regular Menu
15,2024/01/01,Mon,Singapore,Chicken McCrispy® Spicy (6pc),19.50,14.78,Sharing,Regular Menu
16,2024/01/01,Mon,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.66,Sharing,Regular Menu
17,2024/01/01,Mon,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.81,Sharing,Regular Menu
18,2024/01/01,Mon,Singapore,Chicken McNuggets® (20pc),14.85,11.25,Sharing,Regular Menu
19,2024/01/01,Mon,Singapore,McWings® 4pc,6.40,4.85,Sharing,Regular Menu
20,2024/01/01,Mon,Singapore,Sweet 'N Sour Fish (Double) Meal,10.75,8.15,Ala Carte & Value Meals,Regular Menu
21,2024/01/01,Mon,Singapore,Sweet 'N Sour Chicken (Single) Meal,10.15,7.69,Ala Carte & Value Meals,Regular Menu
22,2024/01/01,Mon,Singapore,Ha! Chicken Drumlets (2pc),3.60,2.73,Ala Carte & Value Meals,Regular Menu
23,2024/01/01,Mon,Singapore,McSpicy® with Cheese Meal,10.75,8.15,Ala Carte & Value Meals,Regular Menu
