,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2025/07/05,Sat,Thailand,Pepper Chicken Burger Set & McNugget,99.00,3.06,New Promotions
2,2025/07/05,Sat,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,3.06,New Promotions
3,2025/07/05,Sat,Thailand,Chicken Cheeseburger,99.00,3.06,New Promotions
4,2025/07/05,Sat,Thailand,99 Pork Burger Set,99.00,3.06,New Promotions
5,2025/07/05,Sat,Thailand,99 Hamburger Set,99.00,3.06,New Promotions
6,2025/07/05,Sat,Thailand,Cheeseburger Set,119.00,3.68,New Promotions
7,2025/07/05,Sat,Thailand,Im Kum Samurai Burger (Pork) Set,159.00,4.91,New Promotions
8,2025/07/05,Sat,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.91,New Promotions
9,2025/07/05,Sat,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.91,New Promotions
10,2025/07/05,Sat,Thailand,Im Kum Cheeseburger (Beef) Set,159.00,4.91,New Promotions
11,2025/07/05,Sat,Thailand,Buy 1 Get 1 McNuggets & French Fries,198.00,6.11,New Promotions
12,2025/07/05,Sat,Thailand,Imm Ku McFried Chicken Set,299.00,9.23,New Promotions
13,2025/07/05,Sat,Thailand,McFried Chicken Sharing Set,669.00,20.66,New Promotions
14,2025/07/05,Sat,Thailand,McFried Chicken Party Set,769.00,23.75,New Promotions
15,2025/07/05,Sat,Thailand,"Catering Set 1 : 5 Samurai Burger, 5 Filet O Fish, 20 McNuggets",999.00,30.85,New Promotions
16,2025/07/05,Sat,Thailand,Catering Set 2,1999.00,61.74,New Promotions
17,2025/07/05,Sat,Thailand,3 pcs. McPatongko with Condensed Milk Dip,49.00,1.51,Breakfast
18,2025/07/05,Sat,Thailand,Strawberry Dip 1 Cup,15.00,0.46,Breakfast
19,2025/07/05,Sat,Thailand,Patongko,15.00,0.46,Breakfast
20,2025/07/05,Sat,Thailand,Chocolate Dip 1 Cup,15.00,0.46,Breakfast
21,2025/07/05,Sat,Thailand,5 pcs. McPatongko Set,89.00,2.75,Breakfast
22,2025/07/05,Sat,Thailand,Condensed Milk Dip,12.00,0.37,Breakfast
23,2025/07/05,Sat,Thailand,Big Mac. (Beef),149.00,4.60,Burgers
24,2025/07/05,Sat,Thailand,Double Cheeseburger (Beef) A-la-carte,139.00,4.29,Burgers
25,2025/07/05,Sat,Thailand,Double Cheeseburger (Beef) Set,210.00,6.49,Burgers
26,2025/07/05,Sat,Thailand,Quarter Pounder with Cheese A-la-carte,159.00,4.91,Burgers
27,2025/07/05,Sat,Thailand,Quarter Pounder with Cheese Set,230.00,7.10,Burgers
28,2025/07/05,Sat,Thailand,Double Quarter Pounder with Cheese A-la-carte,219.00,6.76,Burgers
29,2025/07/05,Sat,Thailand,Double Quarter Pounder with Cheese Set,290.00,8.96,Burgers
30,2025/07/05,Sat,Thailand,Quarter Pounder with Cheese Bacon A-la-carte,179.00,5.53,Burgers
31,2025/07/05,Sat,Thailand,Quarter Pounder with Cheese Bacon Set,250.00,7.72,Burgers
32,2025/07/05,Sat,Thailand,Chicken Cheeseburger,59.00,1.82,Burgers
33,2025/07/05,Sat,Thailand,Truffle Beef Burger A-la-carte,179.00,5.53,Burgers
34,2025/07/05,Sat,Thailand,Truffle Beef Burger Set,240.00,7.41,Burgers
35,2025/07/05,Sat,Thailand,Truffle Pork Burger A-la-carte,179.00,5.53,Burgers
36,2025/07/05,Sat,Thailand,Truffle Pork Burger Set,240.00,7.41,Burgers
37,2025/07/05,Sat,Thailand,Triple Beef Cheeseburger A-la-carte,179.00,5.53,Burgers
