,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2022/08/27,Sat,Thailand,Curly Fries (A-la-carte),79.00,2.20,New Promotions,Regular
2,2022/08/27,Sat,Thailand,Curly Fries (Set),109.00,3.03,New Promotions,Regular
3,2022/08/27,Sat,Thailand,Quarter Pounder with Cheese (A-la-carte),149.00,4.14,New Promotions,Regular
4,2022/08/27,Sat,Thailand,Quarter Pounder with Cheese (Set),224.00,6.22,New Promotions,Regular
5,2022/08/27,Sat,Thailand,Double Quarter Pounder with Cheese (A-la-carte),209.00,5.81,New Promotions,Regular
6,2022/08/27,Sat,Thailand,Double Quarter Pounder with Cheese (Set),284.00,7.89,New Promotions,Regular
7,2022/08/27,Sat,Thailand,Quarter Pounder with Cheese Bacon (A-la-carte),169.00,4.70,New Promotions,Regular
8,2022/08/27,Sat,Thailand,Quarter Pounder with Cheese Bacon (Set),244.00,6.78,New Promotions,Regular
9,2022/08/27,Sat,Thailand,Snack Party Set 1,169.00,4.70,New Promotions,Regular
10,2022/08/27,Sat,Thailand,Snack Party Set 2,199.00,5.53,New Promotions,Regular
11,2022/08/27,Sat,Thailand,Shrimp Glass Noodles Pie,35.00,0.97,New Promotions,Regular
12,2022/08/27,Sat,Thailand,Caramel Popcorn Sundae,39.00,1.08,New Promotions,Regular
13,2022/08/27,Sat,Thailand,Caramel Popcorn A-la-Mode (Corn Pie),59.00,1.64,New Promotions,Regular
14,2022/08/27,Sat,Thailand,44% off Shrimp Glass Noodles Pie Set,99.00,2.75,New Promotions,Regular
15,2022/08/27,Sat,Thailand,Vanilla Cream Croissant,59.00,1.64,New Promotions,Regular
16,2022/08/27,Sat,Thailand,Cold Brew Tea Yuzu Peach,79.00,2.20,New Promotions,Regular
17,2022/08/27,Sat,Thailand,Americano Yuzu Peach,89.00,2.47,New Promotions,Regular
18,2022/08/27,Sat,Thailand,Pie A-la-mode (Pineapple/Corn),49.00,1.36,New Promotions,Regular
19,2022/08/27,Sat,Thailand,Iced Double Cocoa,49.00,1.36,New Promotions,Regular
