,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2022/09/30,Fri,Thailand,Quarter Pounder with Cheese (A-la-carte),149.00,3.93,New Promotions,Regular
2,2022/09/30,Fri,Thailand,Quarter Pounder with Cheese (Set),224.00,5.91,New Promotions,Regular
3,2022/09/30,Fri,Thailand,Double Quarter Pounder with Cheese (A-la-carte),209.00,5.52,New Promotions,Regular
4,2022/09/30,Fri,Thailand,Double Quarter Pounder with Cheese (Set),284.00,7.50,New Promotions,Regular
5,2022/09/30,Fri,Thailand,Quarter Pounder with Cheese Bacon (A-la-carte),169.00,4.46,New Promotions,Regular
6,2022/09/30,Fri,Thailand,Quarter Pounder with Cheese Bacon (Set),244.00,6.44,New Promotions,Regular
7,2022/09/30,Fri,Thailand,Mentaiko Combo Set,299.00,7.89,New Promotions,Regular
8,2022/09/30,Fri,Thailand,Mentaiko Fish Burger (A-la-carte),99.00,2.61,New Promotions,Regular
9,2022/09/30,Fri,Thailand,Mentaiko Fish Burger (Set),154.00,4.06,New Promotions,Regular
10,2022/09/30,Fri,Thailand,2 pcs. Shrimp Glass Noodles Pie (A-la-carte),55.00,1.45,New Promotions,Regular
11,2022/09/30,Fri,Thailand,2 pcs. Shrimp Glass Noodles Pie (Set),55.00,1.45,New Promotions,Regular
12,2022/09/30,Fri,Thailand,Caramel Popcorn Sundae,29.00,0.77,New Promotions,Regular
13,2022/09/30,Fri,Thailand,Caramel Popcorn A-la-Mode (Corn Pie),49.00,1.29,New Promotions,Regular
14,2022/09/30,Fri,Thailand,44% off Shrimp Glass Noodles Pie Set,99.00,2.61,New Promotions,Regular
15,2022/09/30,Fri,Thailand,Cold Brew Tea Yuzu Peach,59.00,1.56,New Promotions,Regular
16,2022/09/30,Fri,Thailand,Americano Yuzu Peach,69.00,1.82,New Promotions,Regular
17,2022/09/30,Fri,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.45,New Promotions,Regular
18,2022/09/30,Fri,Thailand,Iced Double Cocoa,49.00,1.29,New Promotions,Regular
