,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
79,2022/01/28,Fri,Japan,Hot Tea (Lemon),120.00,1.04,Beverages,Regular Menu
80,2022/01/28,Fri,Japan,Earlgrey Iced Tea(Milk),120.00,1.04,Beverages,Regular Menu
81,2022/01/28,Fri,Japan,Earlgrey Iced Tea(Lemon),120.00,1.04,Beverages,Regular Menu
82,2022/01/28,Fri,Japan,Milk,220.00,1.91,Beverages,Regular Menu
83,2022/01/28,Fri,Japan,Minute Maid Apple100,160.00,1.39,Beverages,Regular Menu
84,2022/01/28,Fri,Japan,Yasaiseikatsu100,170.00,1.47,Beverages,Regular Menu
85,2022/01/28,Fri,Japan,Smile,0.00,0.00,Beverages,Regular Menu
86,2022/01/28,Fri,Japan,Chicken McNuggets® Happy Meal™,550.00,4.77,Happy Meals,Regular Menu
87,2022/01/28,Fri,Japan,Petit Pancakes Happy Meal™,510.00,4.42,Happy Meals,Regular Menu
88,2022/01/28,Fri,Japan,Cheeseburger Happy Meal™,550.00,4.77,Happy Meals,Regular Menu
89,2022/01/28,Fri,Japan,Hamburger Happy Meal™,510.00,4.42,Happy Meals,Regular Menu
90,2022/01/28,Fri,Japan,Smile,0.00,0.00,Happy Meals,Regular Menu
91,2022/01/28,Fri,Japan,Egg McMuffin®,250.00,2.17,Sandwiches,Breakfast Menu
92,2022/01/28,Fri,Japan,Bacon Egg McSandwich,250.00,2.17,Sandwiches,Breakfast Menu
93,2022/01/28,Fri,Japan,Sausage Egg McMuffin,300.00,2.60,Sandwiches,Breakfast Menu
94,2022/01/28,Fri,Japan,Sausage McMuffin,130.00,1.13,Sandwiches,Breakfast Menu
95,2022/01/28,Fri,Japan,Chicken Crisp Muffin,160.00,1.39,Sandwiches,Breakfast Menu
96,2022/01/28,Fri,Japan,Filet-O-Fish® BF,380.00,3.29,Sandwiches,Breakfast Menu
97,2022/01/28,Fri,Japan,Hotcakes,340.00,2.95,Sandwiches,Breakfast Menu
98,2022/01/28,Fri,Japan,McGriddles Sausage & Egg,340.00,2.95,Sandwiches,Breakfast Menu
99,2022/01/28,Fri,Japan,McGriddles Bacon & Egg,340.00,2.95,Sandwiches,Breakfast Menu
100,2022/01/28,Fri,Japan,McGriddles Sausage,170.00,1.47,Sandwiches,Breakfast Menu
101,2022/01/28,Fri,Japan,Mega Muffin,400.00,3.47,Sandwiches,Breakfast Menu
102,2022/01/28,Fri,Japan,Big Breakfast,460.00,3.99,Sandwiches,Breakfast Menu
103,2022/01/28,Fri,Japan,Big Breakfast Deluxe,690.00,5.98,Sandwiches,Breakfast Menu
104,2022/01/28,Fri,Japan,Smile,0.00,0.00,Sandwiches,Breakfast Menu
105,2022/01/28,Fri,Japan,Hash Potato,180.00,1.56,Sides,Breakfast Menu
106,2022/01/28,Fri,Japan,Chicken McNuggets® 5Pcs,240.00,2.08,Sides,Breakfast Menu
107,2022/01/28,Fri,Japan,Chicken McNuggets® 15Pcs,680.00,5.89,Sides,Breakfast Menu
108,2022/01/28,Fri,Japan,Side Salad,340.00,2.95,Sides,Breakfast Menu
109,2022/01/28,Fri,Japan,Edamame & Corn,290.00,2.51,Sides,Breakfast Menu
110,2022/01/28,Fri,Japan,Yogurt,220.00,1.91,Sides,Breakfast Menu
111,2022/01/28,Fri,Japan,Smile,0.00,0.00,Sides,Breakfast Menu
112,2022/01/28,Fri,Japan,Sujahta ice vanilla,320.00,2.77,Sweets,Breakfast Menu
113,2022/01/28,Fri,Japan,McFlurry® with OREO® Cookie,270.00,2.34,Sweets,Breakfast Menu
114,2022/01/28,Fri,Japan,McFlurry® with Cho OREO® Cookie,340.00,2.95,Sweets,Breakfast Menu
115,2022/01/28,Fri,Japan,McShake® Vanilla,140.00,1.21,Sweets,Breakfast Menu
116,2022/01/28,Fri,Japan,McShake® Strawberry,140.00,1.21,Sweets,Breakfast Menu
117,2022/01/28,Fri,Japan,McShake® Chocolate,140.00,1.21,Sweets,Breakfast Menu
118,2022/01/28,Fri,Japan,Petit Pancakes,230.00,1.99,Sweets,Breakfast Menu
119,2022/01/28,Fri,Japan,Hot Apple Pie,120.00,1.04,Sweets,Breakfast Menu
120,2022/01/28,Fri,Japan,Smile,0.00,0.00,Sweets,Breakfast Menu
121,2022/01/28,Fri,Japan,Suntory Kuro Oolong Tea#Strong,290.00,2.51,Beverages,Breakfast Menu
122,2022/01/28,Fri,Japan,Premium Roast Coffee,120.00,1.04,Beverages,Breakfast Menu
123,2022/01/28,Fri,Japan,Café Latte,180.00,1.56,Beverages,Breakfast Menu
124,2022/01/28,Fri,Japan,Caramel Latte,250.00,2.17,Beverages,Breakfast Menu
125,2022/01/28,Fri,Japan,Premium Roast Ice Coffee,120.00,1.04,Beverages,Breakfast Menu
126,2022/01/28,Fri,Japan,Iced Café Latte,180.00,1.56,Beverages,Breakfast Menu
127,2022/01/28,Fri,Japan,Iced Caramel Latte,250.00,2.17,Beverages,Breakfast Menu
128,2022/01/28,Fri,Japan,Coca Cola Zero,120.00,1.04,Beverages,Breakfast Menu
129,2022/01/28,Fri,Japan,Coca Cola,120.00,1.04,Beverages,Breakfast Menu
130,2022/01/28,Fri,Japan,Sprite,120.00,1.04,Beverages,Breakfast Menu
131,2022/01/28,Fri,Japan,Fanta Grape,120.00,1.04,Beverages,Breakfast Menu
132,2022/01/28,Fri,Japan,Qoo White Grape,120.00,1.04,Beverages,Breakfast Menu
133,2022/01/28,Fri,Japan,Sokenbicha,120.00,1.04,Beverages,Breakfast Menu
134,2022/01/28,Fri,Japan,Minute Maid Orange,170.00,1.47,Beverages,Breakfast Menu
135,2022/01/28,Fri,Japan,Hot Tea (Milk),120.00,1.04,Beverages,Breakfast Menu
136,2022/01/28,Fri,Japan,Hot Tea (Lemon),120.00,1.04,Beverages,Breakfast Menu
137,2022/01/28,Fri,Japan,Earlgrey Iced Tea(Milk),120.00,1.04,Beverages,Breakfast Menu
138,2022/01/28,Fri,Japan,Earlgrey Iced Tea(Lemon),120.00,1.04,Beverages,Breakfast Menu
139,2022/01/28,Fri,Japan,Milk,220.00,1.91,Beverages,Breakfast Menu
140,2022/01/28,Fri,Japan,Minute Maid Apple100,160.00,1.39,Beverages,Breakfast Menu
141,2022/01/28,Fri,Japan,Yasaiseikatsu100,170.00,1.47,Beverages,Breakfast Menu
142,2022/01/28,Fri,Japan,Smile,0.00,0.00,Beverages,Breakfast Menu
143,2022/01/28,Fri,Japan,Egg McMuffin® Happy Meal™,550.00,4.77,Happy Meals,Breakfast Menu
144,2022/01/28,Fri,Japan,Chicken McNuggets® Happy Meal™,550.00,4.77,Happy Meals,Breakfast Menu
145,2022/01/28,Fri,Japan,Petit Pancakes Happy Meal™,510.00,4.42,Happy Meals,Breakfast Menu
146,2022/01/28,Fri,Japan,Hotcakes Happy Meal™,550.00,4.77,Happy Meals,Breakfast Menu
147,2022/01/28,Fri,Japan,Smile,0.00,0.00,Happy Meals,Breakfast Menu
