,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2023/01/25,Wed,Sri Lanka,Crispy Chicken 02 PC,1220.00,3.35,Ala Carte & Value Meals,Regular
2,2023/01/25,Wed,Sri Lanka,Crispy Chicken 05 PC,3080.00,8.46,Ala Carte & Value Meals,Regular
3,2023/01/25,Wed,Sri Lanka,Spicy chicken footlong,840.00,2.31,Ala Carte & Value Meals,Regular
4,2023/01/25,Wed,Sri Lanka,Crispy Chicken Wrap,840.00,2.31,Ala Carte & Value Meals,Regular
5,2023/01/25,Wed,Sri Lanka,McSpicy Chicken Wrap,1700.00,4.67,Ala Carte & Value Meals,Regular
6,2023/01/25,Wed,Sri Lanka,Crispy Chicken Burger,580.00,1.59,Ala Carte & Value Meals,Regular
7,2023/01/25,Wed,Sri Lanka,Chicken Junior,780.00,2.14,Ala Carte & Value Meals,Regular
8,2023/01/25,Wed,Sri Lanka,Beefburger,1050.00,2.88,Ala Carte & Value Meals,Regular
9,2023/01/25,Wed,Sri Lanka,Cheeseburger,1200.00,3.30,Ala Carte & Value Meals,Regular
10,2023/01/25,Wed,Sri Lanka,Double Cheeseburger,1880.00,5.16,Ala Carte & Value Meals,Regular
11,2023/01/25,Wed,Sri Lanka,Big Mac,1820.00,5.00,Ala Carte & Value Meals,Regular
12,2023/01/25,Wed,Sri Lanka,McChicken Burger,1700.00,4.67,Ala Carte & Value Meals,Regular
13,2023/01/25,Wed,Sri Lanka,McSpicy Chicken Burger,1100.00,3.02,Ala Carte & Value Meals,Regular
14,2023/01/25,Wed,Sri Lanka,Chicken Big Mac,1700.00,4.67,Ala Carte & Value Meals,Regular
15,2023/01/25,Wed,Sri Lanka,Chicken McNuggets 6 PC,1500.00,4.12,Ala Carte & Value Meals,Regular
16,2023/01/25,Wed,Sri Lanka,Chicken McNuggets 9 PC,2090.00,5.74,Ala Carte & Value Meals,Regular
17,2023/01/25,Wed,Sri Lanka,McSpicy Chicken Fillet,1320.00,3.63,Ala Carte & Value Meals,Regular
18,2023/01/25,Wed,Sri Lanka,McSpicy Wings 3 PC,570.00,1.57,Ala Carte & Value Meals,Regular
19,2023/01/25,Wed,Sri Lanka,McSpicy Wings 6 PC,1070.00,2.94,Ala Carte & Value Meals,Regular
20,2023/01/25,Wed,Sri Lanka,Filet-O-Fish,1380.00,3.79,Ala Carte & Value Meals,Regular
21,2023/01/25,Wed,Sri Lanka,Veggie Burger,1100.00,3.02,Ala Carte & Value Meals,Regular
22,2023/01/25,Wed,Sri Lanka,Sausage & Egg Burger,580.00,1.59,Breakfast & Value Meals,Breakfast
23,2023/01/25,Wed,Sri Lanka,Egg Burger,440.00,1.21,Breakfast & Value Meals,Breakfast
24,2023/01/25,Wed,Sri Lanka,Hash Brown,340.00,0.93,Breakfast & Value Meals,Breakfast
25,2023/01/25,Wed,Sri Lanka,Crispy Chicken Wrap,840.00,2.31,Breakfast & Value Meals,Breakfast
26,2023/01/25,Wed,Sri Lanka,Crispy Chicken Burger,580.00,1.59,Breakfast & Value Meals,Breakfast
27,2023/01/25,Wed,Sri Lanka,Chicken Junior,780.00,2.14,Breakfast & Value Meals,Breakfast
28,2023/01/25,Wed,Sri Lanka,McSpicy Chicken Burger,1100.00,3.02,Breakfast & Value Meals,Breakfast
29,2023/01/25,Wed,Sri Lanka,Double Chicken Rice meal,1250.00,3.43,Rice,Regular
30,2023/01/25,Wed,Sri Lanka,Curry N Rice,560.00,1.54,Rice,Regular
31,2023/01/25,Wed,Sri Lanka,McRice Chicken,970.00,2.66,Rice,Regular
32,2023/01/25,Wed,Sri Lanka,McRice - Fish,970.00,2.66,Rice,Regular
33,2023/01/25,Wed,Sri Lanka,McRice - Vegetable,970.00,2.66,Rice,Regular
34,2023/01/25,Wed,Sri Lanka,Fries,570.00,1.57,Salads/Sides,Regular
35,2023/01/25,Wed,Sri Lanka,Choco Chip McFlurry,940.00,2.58,Desserts,Regular
36,2023/01/25,Wed,Sri Lanka,OREO McFLURRY,940.00,2.58,Desserts,Regular
37,2023/01/25,Wed,Sri Lanka,Chocolate Sundae,660.00,1.81,Desserts,Regular
38,2023/01/25,Wed,Sri Lanka,Strawberry Sundae,660.00,1.81,Desserts,Regular
39,2023/01/25,Wed,Sri Lanka,Plain Sundae,580.00,1.59,Desserts,Regular
40,2023/01/25,Wed,Sri Lanka,Chocolate flavoured milk,410.00,1.13,Beverages,Regular
41,2023/01/25,Wed,Sri Lanka,Coke zero,310.00,0.85,Beverages,Regular
42,2023/01/25,Wed,Sri Lanka,Coke,370.00,1.02,Beverages,Regular
43,2023/01/25,Wed,Sri Lanka,Fanta,370.00,1.02,Beverages,Regular
44,2023/01/25,Wed,Sri Lanka,Sprite,370.00,1.02,Beverages,Regular
45,2023/01/25,Wed,Sri Lanka,Water,80.00,0.22,Beverages,Regular
46,2023/01/25,Wed,Sri Lanka,Happy Crispy Burger Meal,1490.00,4.09,Happy Meals,Regular
47,2023/01/25,Wed,Sri Lanka,Happy Meal Rice - Chicken,1340.00,3.68,Happy Meals,Regular
48,2023/01/25,Wed,Sri Lanka,Happy Meal Beef,1750.00,4.81,Happy Meals,Regular
49,2023/01/25,Wed,Sri Lanka,Happy Meal Chicken Junior,2550.00,7.00,Happy Meals,Regular
50,2023/01/25,Wed,Sri Lanka,Happy Meal Cheeseburger,1850.00,5.08,Happy Meals,Regular
51,2023/01/25,Wed,Sri Lanka,Happy Meal 4 Nugget,1490.00,4.09,Happy Meals,Regular
52,2023/01/25,Wed,Sri Lanka,2 Crispy Chicken Burgers for Rs 800,800.00,2.20,Promotion & Bundle Meals,Regular
53,2023/01/25,Wed,Sri Lanka,Share box Rice Bundles,7720.00,21.21,Promotion & Bundle Meals,Regular
54,2023/01/25,Wed,Sri Lanka,Share box Chicken Bundles,7720.00,21.21,Promotion & Bundle Meals,Regular
55,2023/01/25,Wed,Sri Lanka,Share box Beef Bundles,9080.00,24.94,Promotion & Bundle Meals,Regular
56,2023/01/25,Wed,Sri Lanka,Fries,570.00,1.57,Salads/Sides,Breakfast
57,2023/01/25,Wed,Sri Lanka,Choco Chip McFlurry,940.00,2.58,Desserts,Breakfast
58,2023/01/25,Wed,Sri Lanka,OREO McFLURRY,940.00,2.58,Desserts,Breakfast
59,2023/01/25,Wed,Sri Lanka,Chocolate Sundae,660.00,1.81,Desserts,Breakfast
60,2023/01/25,Wed,Sri Lanka,Strawberry Sundae,660.00,1.81,Desserts,Breakfast
61,2023/01/25,Wed,Sri Lanka,Plain Sundae,580.00,1.59,Desserts,Breakfast
62,2023/01/25,Wed,Sri Lanka,Chocolate flavoured milk,410.00,1.13,Beverages,Breakfast
63,2023/01/25,Wed,Sri Lanka,Coke zero,310.00,0.85,Beverages,Breakfast
