,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2023/03/12,Sun,Sri Lanka,Double Big Mac,1820.00,5.74,Ala Carte & Value Meals,Regular
2,2023/03/12,Sun,Sri Lanka,Crispy Chicken 02 PC,1220.00,3.85,Ala Carte & Value Meals,Regular
3,2023/03/12,Sun,Sri Lanka,Crispy Chicken 05 PC,3080.00,9.72,Ala Carte & Value Meals,Regular
4,2023/03/12,Sun,Sri Lanka,Spicy chicken footlong,840.00,2.65,Ala Carte & Value Meals,Regular
5,2023/03/12,Sun,Sri Lanka,Crispy Chicken Wrap,840.00,2.65,Ala Carte & Value Meals,Regular
6,2023/03/12,Sun,Sri Lanka,McSpicy Chicken Wrap,1700.00,5.36,Ala Carte & Value Meals,Regular
7,2023/03/12,Sun,Sri Lanka,Crispy Chicken Burger,580.00,1.83,Ala Carte & Value Meals,Regular
8,2023/03/12,Sun,Sri Lanka,Chicken Junior,780.00,2.46,Ala Carte & Value Meals,Regular
9,2023/03/12,Sun,Sri Lanka,Beefburger,1050.00,3.31,Ala Carte & Value Meals,Regular
10,2023/03/12,Sun,Sri Lanka,Cheeseburger,1200.00,3.79,Ala Carte & Value Meals,Regular
11,2023/03/12,Sun,Sri Lanka,Double Cheeseburger,1880.00,5.93,Ala Carte & Value Meals,Regular
12,2023/03/12,Sun,Sri Lanka,Big Mac,1820.00,5.74,Ala Carte & Value Meals,Regular
13,2023/03/12,Sun,Sri Lanka,McChicken Burger,1700.00,5.36,Ala Carte & Value Meals,Regular
14,2023/03/12,Sun,Sri Lanka,McSpicy Chicken Burger,1100.00,3.47,Ala Carte & Value Meals,Regular
15,2023/03/12,Sun,Sri Lanka,Chicken Big Mac,1700.00,5.36,Ala Carte & Value Meals,Regular
16,2023/03/12,Sun,Sri Lanka,Chicken McNuggets 6 PC,1500.00,4.73,Ala Carte & Value Meals,Regular
17,2023/03/12,Sun,Sri Lanka,Chicken McNuggets 9 PC,2090.00,6.59,Ala Carte & Value Meals,Regular
18,2023/03/12,Sun,Sri Lanka,McSpicy Chicken Fillet,1320.00,4.16,Ala Carte & Value Meals,Regular
19,2023/03/12,Sun,Sri Lanka,McSpicy Wings 3 PC,570.00,1.80,Ala Carte & Value Meals,Regular
20,2023/03/12,Sun,Sri Lanka,McSpicy Wings 6 PC,1070.00,3.38,Ala Carte & Value Meals,Regular
21,2023/03/12,Sun,Sri Lanka,Filet-O-Fish,1380.00,4.35,Ala Carte & Value Meals,Regular
