,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2022/12/28,Wed,Hong Kong,Refreshing Breakfast Combo for 1,42.00,5.38,New Sharing Meals,Breakfast Menu
2,2022/12/28,Wed,Hong Kong,Refreshing Breakfast Combo for 2,84.00,10.77,New Sharing Meals,Breakfast Menu
3,2022/12/28,Wed,Hong Kong,Happy Family Breakfast Combo,95.00,12.18,New Sharing Meals,Breakfast Menu
4,2022/12/28,Wed,Hong Kong,Refreshing Breakfast Combo for 3,113.00,14.49,New Sharing Meals,Breakfast Menu
5,2022/12/28,Wed,Hong Kong,McCafe Refreshing Breakfast Combo for 3,137.00,17.56,McCafe Value Combo,Breakfast Menu
6,2022/12/28,Wed,Hong Kong,McCafe Refreshing Breakfast Combo for 2,100.00,12.82,McCafe Value Combo,Breakfast Menu
7,2022/12/28,Wed,Hong Kong,McCafe Refreshing Breakfast Combo for 1,50.00,6.41,McCafe Value Combo,Breakfast Menu
8,2022/12/28,Wed,Hong Kong,McCafe Happy Family Breakfast Combo,111.00,14.23,McCafe Value Combo,Breakfast Menu
9,2022/12/28,Wed,Hong Kong,Tender Pork Chop Twisty Pasta(Rich Tomato Soup),35.50,4.55,Breakfast A-la-carte,Breakfast Menu
10,2022/12/28,Wed,Hong Kong,Tender Pork Chop N' Egg Twisty Pasta(Rich Tomato Soup),38.50,4.94,Breakfast A-la-carte,Breakfast Menu
11,2022/12/28,Wed,Hong Kong,Sausage N' Egg Twisty Pasta(Rich Tomato Soup),31.50,4.04,Breakfast A-la-carte,Breakfast Menu
12,2022/12/28,Wed,Hong Kong,Grilled Chicken Twisty Pasta(Rich Tomato Soup),33.50,4.29,Breakfast A-la-carte,Breakfast Menu
13,2022/12/28,Wed,Hong Kong,Grilled Chicken N' Egg Twisty Pasta(Rich Tomato Soup),36.50,4.68,Breakfast A-la-carte,Breakfast Menu
14,2022/12/28,Wed,Hong Kong,Scrambled Eggs Burger,19.50,2.50,Breakfast A-la-carte,Breakfast Menu
15,2022/12/28,Wed,Hong Kong,Scrambled Eggs N' Chicken Burger,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
16,2022/12/28,Wed,Hong Kong,Scrambled Eggs N' Ham Burger,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
17,2022/12/28,Wed,Hong Kong,NEW LUNCHEON Meat N' Scrambled Egg Burger,25.50,3.27,Breakfast A-la-carte,Breakfast Menu
18,2022/12/28,Wed,Hong Kong,NEW LUNCHEON Meat McMuffin with Egg,25.50,3.27,Breakfast A-la-carte,Breakfast Menu
19,2022/12/28,Wed,Hong Kong,NEW LUNCHEON Meat Deluxe Breakfast,32.50,4.17,Breakfast A-la-carte,Breakfast Menu
20,2022/12/28,Wed,Hong Kong,NEW LUNCHEON Meat Jumbo Breakfast,36.50,4.68,Breakfast A-la-carte,Breakfast Menu
21,2022/12/28,Wed,Hong Kong,Jumbo Breakfast,35.00,4.49,Breakfast A-la-carte,Breakfast Menu
22,2022/12/28,Wed,Hong Kong,Deluxe Breakfast,30.50,3.91,Breakfast A-la-carte,Breakfast Menu
23,2022/12/28,Wed,Hong Kong,Hotcakes Deluxe Breakfast,30.50,3.91,Breakfast A-la-carte,Breakfast Menu
24,2022/12/28,Wed,Hong Kong,Sausage McMuffin® with Egg,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
25,2022/12/28,Wed,Hong Kong,Filet-O-Fish™,23.00,2.95,Breakfast A-la-carte,Breakfast Menu
26,2022/12/28,Wed,Hong Kong,Hotcakes (3 pcs),20.50,2.63,Breakfast A-la-carte,Breakfast Menu
27,2022/12/28,Wed,Hong Kong,Tonkotsu Sausage N' Egg Twisty Pasta,29.50,3.78,Breakfast A-la-carte,Breakfast Menu
28,2022/12/28,Wed,Hong Kong,Tonkotsu Grill Ckn Twisty Pasta with Egg,34.50,4.42,Breakfast A-la-carte,Breakfast Menu
29,2022/12/28,Wed,Hong Kong,Tonkotsu Ham N' Egg Twisty Pasta,29.50,3.78,Breakfast A-la-carte,Breakfast Menu
30,2022/12/28,Wed,Hong Kong,Chicken and Egg Burger,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
31,2022/12/28,Wed,Hong Kong,Happy Meal® Filet-O-Fish™,37.00,4.74,Happy Meal,Breakfast Menu
32,2022/12/28,Wed,Hong Kong,Happy Meal® Hotcakes (2pcs),32.50,4.17,Happy Meal,Breakfast Menu
33,2022/12/28,Wed,Hong Kong,Other Happy Meal Set,28.50,3.65,Happy Meal,Breakfast Menu
34,2022/12/28,Wed,Hong Kong,Iced Mochi Black Sesame Latte,43.00,5.51,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
35,2022/12/28,Wed,Hong Kong,Oatly Chocolate(L),36.00,4.62,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
36,2022/12/28,Wed,Hong Kong,Black Sesame Latte(L),38.00,4.87,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
37,2022/12/28,Wed,Hong Kong,Iced Salted Caramel Oatly Latte,43.00,5.51,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
38,2022/12/28,Wed,Hong Kong,Salted Caramel Oatly Latte(L),38.00,4.87,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
39,2022/12/28,Wed,Hong Kong,Iced Latte,40.00,5.13,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
40,2022/12/28,Wed,Hong Kong,Iced Cappuccino,40.00,5.13,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
41,2022/12/28,Wed,Hong Kong,Iced Americano,40.00,5.13,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
42,2022/12/28,Wed,Hong Kong,Iced Crunchy Ovaltine®,40.00,5.13,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
43,2022/12/28,Wed,Hong Kong,Cappuccino(L),35.00,4.49,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
44,2022/12/28,Wed,Hong Kong,Latte(L),35.00,4.49,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
45,2022/12/28,Wed,Hong Kong,Americano(L),35.00,4.49,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
46,2022/12/28,Wed,Hong Kong,Crunchy Ovaltine(L),35.00,4.49,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
47,2022/12/28,Wed,Hong Kong,Coca-Cola® (L),17.00,2.18,Beverages ',Breakfast Menu
48,2022/12/28,Wed,Hong Kong,Sprite® Lemon- Lime Flavoured Soda (L),17.00,2.18,Beverages ',Breakfast Menu
49,2022/12/28,Wed,Hong Kong,Fanta® Orange Flavoured Soda (L),17.00,2.18,Beverages ',Breakfast Menu
50,2022/12/28,Wed,Hong Kong,Coca-Cola® No Sugar (L),17.00,2.18,Beverages ',Breakfast Menu
51,2022/12/28,Wed,Hong Kong,Minute Maid® Orange Juice (L),16.50,2.12,Beverages ',Breakfast Menu
52,2022/12/28,Wed,Hong Kong,Kochakaden® Fruitea Orange Tea (M),18.50,2.37,Beverages ',Breakfast Menu
53,2022/12/28,Wed,Hong Kong,Kochakaden® Fruitea Orange Tea (L),20.00,2.56,Beverages ',Breakfast Menu
54,2022/12/28,Wed,Hong Kong,Kochakaden® Fruitea Pear Tea (L),20.00,2.56,Beverages ',Breakfast Menu
55,2022/12/28,Wed,Hong Kong,Iced Prem Roast Coffee (L),23.00,2.95,Beverages ',Breakfast Menu
56,2022/12/28,Wed,Hong Kong,Hot Chocolate,17.00,2.18,Beverages ',Breakfast Menu
57,2022/12/28,Wed,Hong Kong,Hi-Calcium Low Fat Milk Drink,17.50,2.24,Beverages ',Breakfast Menu
58,2022/12/28,Wed,Hong Kong,Hot Local Milk Tea  (L),18.50,2.37,Beverages ',Breakfast Menu
59,2022/12/28,Wed,Hong Kong,Ground Coffee (L),20.50,2.63,Beverages ',Breakfast Menu
60,2022/12/28,Wed,Hong Kong,Iced Local Milk Tea (L),22.00,2.82,Beverages ',Breakfast Menu
61,2022/12/28,Wed,Hong Kong,Iced Fresh Lemon Tea (L),22.00,2.82,Beverages ',Breakfast Menu
