,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2022/10/31,Mon,Thailand,Mentaiko Combo Set,299.00,7.88,New Promotions,Regular
2,2022/10/31,Mon,Thailand,10 pc. Chicken McNuggets Set (XL) Free 10 pc. McNuggets,239.00,6.30,New Promotions,Regular
3,2022/10/31,Mon,Thailand,Crisper Fries Party Size,169.00,4.45,New Promotions,Regular
4,2022/10/31,Mon,Thailand,Salted Caramel Sundae,39.00,1.03,New Promotions,Regular
5,2022/10/31,Mon,Thailand,Quarter Pounder with Cheese (A-la-carte),149.00,3.92,New Promotions,Regular
6,2022/10/31,Mon,Thailand,Quarter Pounder with Cheese (Set),224.00,5.90,New Promotions,Regular
7,2022/10/31,Mon,Thailand,Double Quarter Pounder with Cheese (A-la-carte),209.00,5.51,New Promotions,Regular
8,2022/10/31,Mon,Thailand,Double Quarter Pounder with Cheese (Set),284.00,7.48,New Promotions,Regular
9,2022/10/31,Mon,Thailand,Quarter Pounder with Cheese Bacon (A-la-carte),169.00,4.45,New Promotions,Regular
10,2022/10/31,Mon,Thailand,Quarter Pounder with Cheese Bacon (Set),244.00,6.43,New Promotions,Regular
11,2022/10/31,Mon,Thailand,Mentaiko Fish Burger (A-la-carte),99.00,2.61,New Promotions,Regular
12,2022/10/31,Mon,Thailand,Mentaiko Fish Burger (Set),154.00,4.06,New Promotions,Regular
13,2022/10/31,Mon,Thailand,Truffle Cheesy Ham Pie,45.00,1.19,New Promotions,Regular
14,2022/10/31,Mon,Thailand,Pinky Peach Sundae,45.00,1.19,New Promotions,Regular
15,2022/10/31,Mon,Thailand,Crisper Fries,89.00,2.34,New Promotions,Regular
16,2022/10/31,Mon,Thailand,Cold Brew Tea Yuzu Peach,59.00,1.55,New Promotions,Regular
17,2022/10/31,Mon,Thailand,Americano Yuzu Peach,69.00,1.82,New Promotions,Regular
18,2022/10/31,Mon,Thailand,Pinky Peach A-La-Mode (Pineapple Pie),65.00,1.71,New Promotions,Regular
19,2022/10/31,Mon,Thailand,Crisper Fries with Cheesy Dip and Coke,119.00,3.13,New Promotions,Regular
20,2022/10/31,Mon,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.45,New Promotions,Regular
21,2022/10/31,Mon,Thailand,Iced Lemon Tea,39.00,1.03,New Promotions,Regular
22,2022/10/31,Mon,Thailand,Iced Double Cocoa,49.00,1.29,New Promotions,Regular
