,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2023/08/24,Thu,India,Egg & Cheese McMuffin,98.10,1.19,McBreakfast
2,2023/08/24,Thu,India,Sausage McMuffin,128.57,1.56,McBreakfast
3,2023/08/24,Thu,India,Sausage & Egg McMuffin,149.52,1.81,McBreakfast
4,2023/08/24,Thu,India,Hashbrown,51.43,0.62,McBreakfast
5,2023/08/24,Thu,India,Veg McMuffin,114.29,1.38,McBreakfast
6,2023/08/24,Thu,India,Sausage & Egg McMuffin 2 pc Meal,261.90,3.17,McBreakfast
7,2023/08/24,Thu,India,Sausage McMuffin 2 pc Meal,245.71,2.98,McBreakfast
8,2023/08/24,Thu,India,Veg McMuffin 2 Pc Meal,235.24,2.85,McBreakfast
9,2023/08/24,Thu,India,Sausage with Egg McMuffin 3 Pc Meal,286.67,3.47,McBreakfast
10,2023/08/24,Thu,India,Sausage McMuffin 3 Pc Meal,265.71,3.22,McBreakfast
11,2023/08/24,Thu,India,Veg McMuffin 3 Pc Meal,257.14,3.12,McBreakfast
12,2023/08/24,Thu,India,Egg & Cheese McMuffin 3 Pc Meal,235.24,2.85,McBreakfast
13,2023/08/24,Thu,India,Hot Cake 2 Pc Meal,256.19,3.10,McBreakfast
14,2023/08/24,Thu,India,Hot Cake 3 Pc Meal,272.38,3.30,McBreakfast
15,2023/08/24,Thu,India,Hot Cakes With Maple Syrup,142.86,1.73,McBreakfast
16,2023/08/24,Thu,India,McSaver Egg & Cheese McMuffin Meal,141.90,1.72,McBreakfast
17,2023/08/24,Thu,India,Double Cheese McMuffin,98.10,1.19,McBreakfast
18,2023/08/24,Thu,India,McSaver Double Cheese McMuffin Meal,141.90,1.72,McBreakfast
19,2023/08/24,Thu,India,Double Cheese McMuffin 3 Pc Meal with Cappuccino (S),235.24,2.85,McBreakfast
20,2023/08/24,Thu,India,McSaver Spicy Egg McMuffin Meal,141.90,1.72,McBreakfast
21,2023/08/24,Thu,India,Spicy Egg McMuffin 3 Pc Meal with Cappuccino (S),245.71,2.98,McBreakfast
22,2023/08/24,Thu,India,Spicy Egg McMuffin,103.81,1.26,McBreakfast
23,2023/08/24,Thu,India,2 McVeggie Burger + Fries (L) + 2 Coke,365.32,4.43,Value Meals for 2 (Minimum 25% Off)
