,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2024/12/03,Tue,Brunei,Big Mac (Value Meal) — Medium,6.50,4.81,Regular Value Meal
2,2024/12/03,Tue,Brunei,Big Mac (Value Meal) — Large,7.10,5.25,Regular Value Meal
3,2024/12/03,Tue,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.66,Regular Value Meal
4,2024/12/03,Tue,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.11,Regular Value Meal
5,2024/12/03,Tue,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.59,Regular Value Meal
6,2024/12/03,Tue,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.03,Regular Value Meal
7,2024/12/03,Tue,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.85,Regular Value Meal
8,2024/12/03,Tue,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,4.96,Regular Value Meal
9,2024/12/03,Tue,Brunei,Big Mac (A La Carte),5.50,4.07,Regular Value Meal
10,2024/12/03,Tue,Brunei,Double Cheeseburger (A La Carte),5.10,3.77,Regular Value Meal
11,2024/12/03,Tue,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.92,Regular Value Meal
12,2024/12/03,Tue,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.92,Regular Value Meal
13,2024/12/03,Tue,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.14,Regular Value Meal
14,2024/12/03,Tue,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.59,Regular Value Meal
15,2024/12/03,Tue,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.14,Regular Value Meal
16,2024/12/03,Tue,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.66,Regular Value Meal
17,2024/12/03,Tue,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.11,Regular Value Meal
18,2024/12/03,Tue,Brunei,Filet-O-Fish (A La Carte),3.80,2.81,Regular Value Meal
19,2024/12/03,Tue,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.03,Regular Value Meal
