,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2024/08/09,Fri,Brunei,Big Mac (Value Meal) — Medium,6.50,4.88,Regular Value Meal
2,2024/08/09,Fri,Brunei,Big Mac (Value Meal) — Large,7.10,5.32,Regular Value Meal
3,2024/08/09,Fri,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.72,Regular Value Meal
4,2024/08/09,Fri,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.18,Regular Value Meal
5,2024/08/09,Fri,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.65,Regular Value Meal
6,2024/08/09,Fri,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.10,Regular Value Meal
7,2024/08/09,Fri,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.90,Regular Value Meal
8,2024/08/09,Fri,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,5.03,Regular Value Meal
9,2024/08/09,Fri,Brunei,Big Mac (A La Carte),5.50,4.12,Regular Value Meal
10,2024/08/09,Fri,Brunei,Double Cheeseburger (A La Carte),5.10,3.82,Regular Value Meal
11,2024/08/09,Fri,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.97,Regular Value Meal
12,2024/08/09,Fri,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.97,Regular Value Meal
13,2024/08/09,Fri,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.20,Regular Value Meal
14,2024/08/09,Fri,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.72,Regular Value Meal
15,2024/08/09,Fri,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.18,Regular Value Meal
16,2024/08/09,Fri,Brunei,Filet-O-Fish (A La Carte),3.80,2.85,Regular Value Meal
17,2024/08/09,Fri,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.10,Regular Value Meal
18,2024/08/09,Fri,Brunei,McChicken — Ala Carte,5.00,3.75,Regular Value Meal
19,2024/08/09,Fri,Brunei,McChicken — Medium,6.00,4.50,Regular Value Meal
20,2024/08/09,Fri,Brunei,McChicken — Large,6.60,4.95,Regular Value Meal
21,2024/08/09,Fri,Brunei,Triple Cheeseburger (A La Carte),5.60,4.20,Regular Value Meal
22,2024/08/09,Fri,Brunei,Triple Cheeseburger — Medium,8.10,6.07,Regular Value Meal
23,2024/08/09,Fri,Brunei,Triple Cheeseburger — Large,8.70,6.52,Regular Value Meal
24,2024/08/09,Fri,Brunei,Quarter Pounder with Cheese Ala Carte,6.60,4.95,Regular Value Meal
25,2024/08/09,Fri,Brunei,Quarter Pounder with Cheese Large Meal,7.80,5.85,Regular Value Meal
26,2024/08/09,Fri,Brunei,2pcs Ayam Goreng McD,5.30,3.97,Sides
27,2024/08/09,Fri,Brunei,5pcs Ayam Goreng McD,12.00,9.00,Sides
28,2024/08/09,Fri,Brunei,9pcs Ayam Goreng McD,21.80,16.35,Sides
29,2024/08/09,Fri,Brunei,Rice,0.80,0.60,Sides
30,2024/08/09,Fri,Brunei,French Fries — Medium,2.20,1.65,Sides
31,2024/08/09,Fri,Brunei,French Fries — Large,2.50,1.88,Sides
32,2024/08/09,Fri,Brunei,Bubur McD — Small,3.20,2.40,Sides
33,2024/08/09,Fri,Brunei,Bubur McD — Large,3.70,2.78,Sides
34,2024/08/09,Fri,Brunei,Sauces — Tartar Sauce,0.50,0.38,Sides
35,2024/08/09,Fri,Brunei,Sauces — Nasi Lemak McD Sambal,0.50,0.38,Sides
