,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2024/08/19,Mon,Brunei,Big Mac (Value Meal) — Medium,6.50,4.94,Regular Value Meal
2,2024/08/19,Mon,Brunei,Big Mac (Value Meal) — Large,7.10,5.40,Regular Value Meal
3,2024/08/19,Mon,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.79,Regular Value Meal
4,2024/08/19,Mon,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.24,Regular Value Meal
5,2024/08/19,Mon,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.71,Regular Value Meal
6,2024/08/19,Mon,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.17,Regular Value Meal
7,2024/08/19,Mon,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.95,Regular Value Meal
8,2024/08/19,Mon,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,5.09,Regular Value Meal
9,2024/08/19,Mon,Brunei,Big Mac (A La Carte),5.50,4.18,Regular Value Meal
10,2024/08/19,Mon,Brunei,Double Cheeseburger (A La Carte),5.10,3.88,Regular Value Meal
11,2024/08/19,Mon,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,4.03,Regular Value Meal
12,2024/08/19,Mon,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,4.03,Regular Value Meal
13,2024/08/19,Mon,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.26,Regular Value Meal
14,2024/08/19,Mon,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.79,Regular Value Meal
15,2024/08/19,Mon,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.24,Regular Value Meal
16,2024/08/19,Mon,Brunei,Filet-O-Fish (A La Carte),3.80,2.89,Regular Value Meal
17,2024/08/19,Mon,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.17,Regular Value Meal
18,2024/08/19,Mon,Brunei,McChicken — Ala Carte,5.00,3.80,Regular Value Meal
19,2024/08/19,Mon,Brunei,McChicken — Medium,6.00,4.56,Regular Value Meal
20,2024/08/19,Mon,Brunei,McChicken — Large,6.60,5.02,Regular Value Meal
21,2024/08/19,Mon,Brunei,Triple Cheeseburger (A La Carte),5.60,4.26,Regular Value Meal
22,2024/08/19,Mon,Brunei,Triple Cheeseburger — Medium,8.10,6.16,Regular Value Meal
23,2024/08/19,Mon,Brunei,Triple Cheeseburger — Large,8.70,6.61,Regular Value Meal
24,2024/08/19,Mon,Brunei,Quarter Pounder with Cheese Ala Carte,6.60,5.02,Regular Value Meal
25,2024/08/19,Mon,Brunei,Quarter Pounder with Cheese Large Meal,7.80,5.93,Regular Value Meal
26,2024/08/19,Mon,Brunei,2pcs Ayam Goreng McD,5.30,4.03,Sides
27,2024/08/19,Mon,Brunei,5pcs Ayam Goreng McD,12.00,9.12,Sides
28,2024/08/19,Mon,Brunei,9pcs Ayam Goreng McD,21.80,16.57,Sides
29,2024/08/19,Mon,Brunei,Rice,0.80,0.61,Sides
30,2024/08/19,Mon,Brunei,French Fries — Medium,2.20,1.67,Sides
31,2024/08/19,Mon,Brunei,French Fries — Large,2.50,1.90,Sides
32,2024/08/19,Mon,Brunei,Bubur McD — Small,3.20,2.43,Sides
33,2024/08/19,Mon,Brunei,Bubur McD — Large,3.70,2.81,Sides
34,2024/08/19,Mon,Brunei,Sauces — Tartar Sauce,0.50,0.38,Sides
35,2024/08/19,Mon,Brunei,Sauces — Nasi Lemak McD Sambal,0.50,0.38,Sides
36,2024/08/19,Mon,Brunei,Oreo Berry McFlurry,4.00,3.04,Dessert
37,2024/08/19,Mon,Brunei,Oreo McFlurry,2.00,1.52,Dessert
38,2024/08/19,Mon,Brunei,Oreo Mudpie McFlurry,4.00,3.04,Dessert
39,2024/08/19,Mon,Brunei,Sundae Strawberry,2.50,1.90,Dessert
40,2024/08/19,Mon,Brunei,Apple Pie — 1 Pc,1.80,1.37,Dessert
41,2024/08/19,Mon,Brunei,Apple Pie — 2 Pc,3.30,2.51,Dessert
42,2024/08/19,Mon,Brunei,Sundae Chocolate,2.50,1.90,Dessert
43,2024/08/19,Mon,Brunei,Greentea Oreo McFlurry,4.00,3.04,Dessert
44,2024/08/19,Mon,Brunei,Gula Melaka Oreo McFlurry 1pc,3.50,2.66,Dessert
45,2024/08/19,Mon,Brunei,Gula Melaka Oreo McFlurry 2pc,6.00,4.56,Dessert
46,2024/08/19,Mon,Brunei,Cendol McFlurry 1pc,3.50,2.66,Dessert
47,2024/08/19,Mon,Brunei,Cendol McFlurry 2pc,6.00,4.56,Dessert
