,Date,Day,Territory,Menu Item,Price (NZD),Price (USD),Category,Menu
1,2024/06/17,Mon,New Zealand,Bacon & Egg McMuffin®,9.30,5.71,Brekkie Meals,Breakfast
2,2024/06/17,Mon,New Zealand,Hotcakes with Whipped Butter & Syrup,9.20,5.65,Brekkie Meals,Breakfast
3,2024/06/17,Mon,New Zealand,Massive McMuffin®,11.30,6.94,Brekkie Meals,Breakfast
4,2024/06/17,Mon,New Zealand,Big Brekkie Burger,11.80,7.25,Brekkie Meals,Breakfast
5,2024/06/17,Mon,New Zealand,Sausage & Egg McMuffin®,9.30,5.71,Brekkie Meals,Breakfast
6,2024/06/17,Mon,New Zealand,NYC Benedict Bagel®,10.60,6.51,Brekkie Meals,Breakfast
7,2024/06/17,Mon,New Zealand,Chicken McMuffin®,7.90,4.85,Brekkie Meals,Breakfast
8,2024/06/17,Mon,New Zealand,BLT Bagel,10.20,6.27,Brekkie Meals,Breakfast
9,2024/06/17,Mon,New Zealand,Sausage McMuffin®,7.60,4.67,Brekkie Meals,Breakfast
10,2024/06/17,Mon,New Zealand,Chicken & Bacon McMuffin®,9.20,5.65,Brekkie Meals,Breakfast
11,2024/06/17,Mon,New Zealand,Cheeseburger,6.10,3.75,All Day Favourites,Breakfast
12,2024/06/17,Mon,New Zealand,McChicken®,10.40,6.39,All Day Favourites,Breakfast
13,2024/06/17,Mon,New Zealand,Big Mac®,10.30,6.33,All Day Favourites,Breakfast
14,2024/06/17,Mon,New Zealand,10pc Chicken McNuggets®,13.40,8.23,All Day Favourites,Breakfast
15,2024/06/17,Mon,New Zealand,Double Cheeseburger,8.40,5.16,All Day Favourites,Breakfast
16,2024/06/17,Mon,New Zealand,6pc Chicken McNuggets®,10.00,6.14,All Day Favourites,Breakfast
17,2024/06/17,Mon,New Zealand,Quarter Pounder®,10.30,6.33,All Day Favourites,Breakfast
18,2024/06/17,Mon,New Zealand,Double Quarter Pounder®,13.60,8.35,All Day Favourites,Breakfast
19,2024/06/17,Mon,New Zealand,Double Big Mac®,12.60,7.74,All Day Favourites,Breakfast
20,2024/06/17,Mon,New Zealand,20pc Chicken McNuggets®,21.40,13.14,All Day Favourites,Breakfast
21,2024/06/17,Mon,New Zealand,Big Mac Dinner for 2,34.00,20.88,To Share,Breakfast
22,2024/06/17,Mon,New Zealand,The Family Pack,42.00,25.80,To Share,Breakfast
23,2024/06/17,Mon,New Zealand,The Cheeseburger Stack,23.00,14.13,To Share,Breakfast
24,2024/06/17,Mon,New Zealand,Hash Brown,4.80,2.95,Sides,Breakfast
25,2024/06/17,Mon,New Zealand,Small Fries,5.40,3.32,Sides,Breakfast
26,2024/06/17,Mon,New Zealand,6pc Chicken McNuggets® Happy Meal®,11.80,7.25,Happy Meals,Breakfast
27,2024/06/17,Mon,New Zealand,Cheeseburger Happy Meal®,10.00,6.14,Happy Meals,Breakfast
28,2024/06/17,Mon,New Zealand,Hotcakes Happy Meal®,10.00,6.14,Happy Meals,Breakfast
29,2024/06/17,Mon,New Zealand,3pc Chicken McNuggets® Happy Meal®,10.00,6.14,Happy Meals,Breakfast
30,2024/06/17,Mon,New Zealand,Small Hot Chocolate McCafé®,6.20,3.81,McCafé® Drinks,Breakfast
31,2024/06/17,Mon,New Zealand,Small Flat White McCafe®,6.20,3.81,McCafé® Drinks,Breakfast
32,2024/06/17,Mon,New Zealand,Small Latté  McCafe®,6.20,3.81,McCafé® Drinks,Breakfast
