,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2022/08/25,Thu,Australia,Mighty McMuffin,8.00,5.52,Most Popular,Breakfast Menu
2,2022/08/25,Thu,Australia,Sausage & Egg McMuffin,5.90,4.07,Most Popular,Breakfast Menu
3,2022/08/25,Thu,Australia,Bacon & Egg McMuffin,5.65,3.90,Most Popular,Breakfast Menu
4,2022/08/25,Thu,Australia,Brekkie Bundle,29.95,20.68,Most Popular,Breakfast Menu
5,2022/08/25,Thu,Australia,Hash Brown,3.20,2.21,Most Popular,Breakfast Menu
6,2022/08/25,Thu,Australia,Hotcakes with Butter & Syrup,6.90,4.76,Most Popular,Breakfast Menu
7,2022/08/25,Thu,Australia,Big Mac,7.45,5.14,All Day Menu,Breakfast Menu
8,2022/08/25,Thu,Australia,Cheeseburger,4.45,3.07,All Day Menu,Breakfast Menu
9,2022/08/25,Thu,Australia,Double Cheeseburger,6.15,4.25,All Day Menu,Breakfast Menu
10,2022/08/25,Thu,Australia,Small Fries,3.15,2.18,All Day Menu,Breakfast Menu
11,2022/08/25,Thu,Australia,Chicken McNuggets - 3pc,5.40,3.73,All Day Menu,Breakfast Menu
12,2022/08/25,Thu,Australia,Chicken McNuggets - 6pc,7.90,5.46,All Day Menu,Breakfast Menu
13,2022/08/25,Thu,Australia,Chicken McNuggets - 20pc,15.00,10.36,All Day Menu,Breakfast Menu
14,2022/08/25,Thu,Australia,Chicken McNuggets - 40pc,29.45,20.34,All Day Menu,Breakfast Menu
15,2022/08/25,Thu,Australia,Mighty McMuffin,8.00,5.52,McMuffins,Breakfast Menu
16,2022/08/25,Thu,Australia,Double Bacon & Egg McMuffin,6.60,4.56,McMuffins,Breakfast Menu
17,2022/08/25,Thu,Australia,Sausage & Egg McMuffin,5.90,4.07,McMuffins,Breakfast Menu
18,2022/08/25,Thu,Australia,Bacon & Egg McMuffin,5.65,3.90,McMuffins,Breakfast Menu
19,2022/08/25,Thu,Australia,Sausage McMuffin,5.45,3.76,McMuffins,Breakfast Menu
20,2022/08/25,Thu,Australia,Double Sausage & Egg McMuffin,7.00,4.83,McMuffins,Breakfast Menu
21,2022/08/25,Thu,Australia,Double Sausage McMuffin,6.75,4.66,McMuffins,Breakfast Menu
22,2022/08/25,Thu,Australia,Big Brekkie Burger,9.00,6.21,McMuffins,Breakfast Menu
23,2022/08/25,Thu,Australia,Brekkie Bundle,29.95,20.68,McMuffins,Breakfast Menu
24,2022/08/25,Thu,Australia,Big Brekkie Burger,9.00,6.21,More Brekkie Favourites,Breakfast Menu
25,2022/08/25,Thu,Australia,Hash Brown,3.20,2.21,More Brekkie Favourites,Breakfast Menu
26,2022/08/25,Thu,Australia,Hotcakes with Butter & Syrup,6.90,4.76,More Brekkie Favourites,Breakfast Menu
27,2022/08/25,Thu,Australia,Small Cappuccino McCafe,5.00,3.45,McCafe Drinks,Breakfast Menu
28,2022/08/25,Thu,Australia,Small Flat White McCafe,5.00,3.45,McCafe Drinks,Breakfast Menu
29,2022/08/25,Thu,Australia,Small Long Black McCafe,5.00,3.45,McCafe Drinks,Breakfast Menu
30,2022/08/25,Thu,Australia,Small Hot Chocolate McCafé,4.90,3.38,McCafe Drinks,Breakfast Menu
31,2022/08/25,Thu,Australia,Small Latté McCafe,5.00,3.45,McCafe Drinks,Breakfast Menu
32,2022/08/25,Thu,Australia,Small Mocha McCafe,5.25,3.63,McCafe Drinks,Breakfast Menu
33,2022/08/25,Thu,Australia,Espresso McCafé,3.95,2.73,McCafe Drinks,Breakfast Menu
34,2022/08/25,Thu,Australia,Macchiato McCafé,3.95,2.73,McCafe Drinks,Breakfast Menu
35,2022/08/25,Thu,Australia,Piccolo Latte,3.95,2.73,McCafe Drinks,Breakfast Menu
36,2022/08/25,Thu,Australia,Small Chai Latte McCafé,4.90,3.38,McCafe Drinks,Breakfast Menu
