,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2024/11/18,Mon,Fiji,Big Mac (S/R) -Beef,14.75,6.41,Classic McValue Meals,Regular
2,2024/11/18,Mon,Fiji,Cheeseburger (S/R) - Beef,10.95,4.76,Classic McValue Meals,Regular
3,2024/11/18,Mon,Fiji,Quarter Pounder (S/R) - Beef,14.95,6.49,Classic McValue Meals,Regular
4,2024/11/18,Mon,Fiji,Filet-O-Fish (S/R),12.55,5.45,Classic McValue Meals,Regular
5,2024/11/18,Mon,Fiji,McFeast (S/R) - Beef,16.55,7.19,Classic McValue Meals,Regular
6,2024/11/18,Mon,Fiji,Double Cheeseburger (S/R) - Beef,13.95,6.06,Classic McValue Meals,Regular
7,2024/11/18,Mon,Fiji,Vege McWrap (S/R),13.45,5.84,Classic McValue Meals,Regular
8,2024/11/18,Mon,Fiji,Filet McWrap (S/R),13.95,6.06,Classic McValue Meals,Regular
9,2024/11/18,Mon,Fiji,McChicken (S/R),14.35,6.23,Chicken Mcvalue Meals,Regular
10,2024/11/18,Mon,Fiji,6pk McNuggets (S/R),13.50,5.86,Chicken Mcvalue Meals,Regular
11,2024/11/18,Mon,Fiji,10pk McNuggets (S/R),16.35,7.10,Chicken Mcvalue Meals,Regular
12,2024/11/18,Mon,Fiji,Chicken Aioli McWrap (S/R),13.95,6.06,Chicken Mcvalue Meals,Regular
13,2024/11/18,Mon,Fiji,Cheeseburger Happy Meal (Beef),12.95,5.62,Happy Meals,Regular
14,2024/11/18,Mon,Fiji,Junior Burger Happy Meal (Beef),12.95,5.62,Happy Meals,Regular
15,2024/11/18,Mon,Fiji,4pk Chicken McNuggets Happy Meal,12.95,5.62,Happy Meals,Regular
16,2024/11/18,Mon,Fiji,Big Mac (Beef),10.25,4.45,Classic Favourites,Regular
17,2024/11/18,Mon,Fiji,Cheeseburger (Beef),6.65,2.89,Classic Favourites,Regular
18,2024/11/18,Mon,Fiji,Quarter Pounder (Beef),10.95,4.76,Classic Favourites,Regular
19,2024/11/18,Mon,Fiji,Filet-O-Fish,8.45,3.67,Classic Favourites,Regular
20,2024/11/18,Mon,Fiji,McFeast (Beef),12.95,5.62,Classic Favourites,Regular
21,2024/11/18,Mon,Fiji,Double Cheeseburger (Beef),10.45,4.54,Classic Favourites,Regular
22,2024/11/18,Mon,Fiji,Salad Burger,7.95,3.45,Classic Favourites,Regular
23,2024/11/18,Mon,Fiji,Vege McWrap,9.85,4.28,Classic Favourites,Regular
24,2024/11/18,Mon,Fiji,Filet McWrap,10.75,4.67,Classic Favourites,Regular
25,2024/11/18,Mon,Fiji,6pk McNuggets,7.95,3.45,Chicken Favourites,Regular
26,2024/11/18,Mon,Fiji,10pk McNuggets,11.95,5.19,Chicken Favourites,Regular
27,2024/11/18,Mon,Fiji,Chicken Aioli McWrap,10.95,4.76,Chicken Favourites,Regular
28,2024/11/18,Mon,Fiji,McChicken,9.85,4.28,Chicken Favourites,Regular
29,2024/11/18,Mon,Fiji,Sweet And Sour Sauce,0.50,0.22,Sides And Condiments,Regular
30,2024/11/18,Mon,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
31,2024/11/18,Mon,Fiji,Mayonnaise Packet,0.50,0.22,Sides And Condiments,Regular
32,2024/11/18,Mon,Fiji,Fries (S/R),4.15,1.80,Sides And Condiments,Regular
33,2024/11/18,Mon,Fiji,McCafe Iced Lemon Tea,7.75,3.37,McCafe Drinks,Regular
34,2024/11/18,Mon,Fiji,McCafe Iced Mango Tea,7.75,3.37,McCafe Drinks,Regular
35,2024/11/18,Mon,Fiji,McCafe Iced Peach Tea,7.75,3.37,McCafe Drinks,Regular
36,2024/11/18,Mon,Fiji,6pk No Chicken Nuggets,9.95,4.32,Promotions,Regular
37,2024/11/18,Mon,Fiji,10pk No Chicken Nuggets,14.95,6.49,Promotions,Regular
38,2024/11/18,Mon,Fiji,2pc Hot And Spicy (S/R),13.95,6.06,Chicken Mcvalue Meals,Regular
39,2024/11/18,Mon,Fiji,3pc Hot And Spicy (S/R),18.95,8.23,Chicken Mcvalue Meals,Regular
40,2024/11/18,Mon,Fiji,5pc Hot And Spicy (S/R),27.75,12.05,Chicken Mcvalue Meals,Regular
41,2024/11/18,Mon,Fiji,3pc Hot And Spicy Chicken,15.95,6.93,Chicken Favourites,Regular
42,2024/11/18,Mon,Fiji,5pc Hot And Spicy Chicken,24.55,10.66,Chicken Favourites,Regular
43,2024/11/18,Mon,Fiji,Chicken Sharebox,54.95,23.87,Promotions,Regular
44,2024/11/18,Mon,Fiji,Beef Sharebox,54.95,23.87,Promotions,Regular
