,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2023/03/15,Wed,Brunei,Big Mac (Value Meal) — Medium,6.50,4.83,Regular Value Meal
2,2023/03/15,Wed,Brunei,Big Mac (Value Meal) — Large,7.10,5.28,Regular Value Meal
3,2023/03/15,Wed,Brunei,6 Pcs Fish Nuggets (Value Meal) — Medium,5.80,4.31,Regular Value Meal
4,2023/03/15,Wed,Brunei,6 Pcs Fish Nuggets (Value Meal) — Large,6.40,4.76,Regular Value Meal
5,2023/03/15,Wed,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.68,Regular Value Meal
6,2023/03/15,Wed,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.13,Regular Value Meal
7,2023/03/15,Wed,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.61,Regular Value Meal
8,2023/03/15,Wed,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.05,Regular Value Meal
9,2023/03/15,Wed,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.86,Regular Value Meal
10,2023/03/15,Wed,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,4.98,Regular Value Meal
11,2023/03/15,Wed,Brunei,Big Mac (A La Carte),5.50,4.09,Regular Value Meal
12,2023/03/15,Wed,Brunei,6 Pcs Fish Nuggets (A La Carte),4.30,3.20,Regular Value Meal
13,2023/03/15,Wed,Brunei,Double Cheeseburger (A La Carte),5.10,3.79,Regular Value Meal
14,2023/03/15,Wed,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.94,Regular Value Meal
15,2023/03/15,Wed,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.94,Regular Value Meal
16,2023/03/15,Wed,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.16,Regular Value Meal
17,2023/03/15,Wed,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.61,Regular Value Meal
18,2023/03/15,Wed,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.16,Regular Value Meal
19,2023/03/15,Wed,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.68,Regular Value Meal
20,2023/03/15,Wed,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.13,Regular Value Meal
21,2023/03/15,Wed,Brunei,Filet-O-Fish (A La Carte),3.80,2.82,Regular Value Meal
22,2023/03/15,Wed,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.05,Regular Value Meal
23,2023/03/15,Wed,Brunei,Spicy Chicken McDeluxe (Value Meal) — Large,7.40,5.50,Regular Value Meal
24,2023/03/15,Wed,Brunei,Chicken McNuggets — 6 Pieces - A la carte,4.60,3.42,Regular Value Meal
25,2023/03/15,Wed,Brunei,Chicken McNuggets — 6 Pieces - Medium Value Meal,6.10,4.53,Regular Value Meal
26,2023/03/15,Wed,Brunei,McChicken — Ala Carte,5.00,3.72,Regular Value Meal
27,2023/03/15,Wed,Brunei,McChicken — Medium,6.00,4.46,Regular Value Meal
28,2023/03/15,Wed,Brunei,McChicken — Large,6.60,4.91,Regular Value Meal
29,2023/03/15,Wed,Brunei,McChicken Deluxe — Ala Carte,5.20,3.86,Regular Value Meal
30,2023/03/15,Wed,Brunei,McChicken Deluxe — Medium,6.20,4.61,Regular Value Meal
31,2023/03/15,Wed,Brunei,McChicken Deluxe — Large,6.80,5.05,Regular Value Meal
32,2023/03/15,Wed,Brunei,Chicken Nuggets — 20 Pieces,12.60,9.36,Regular Value Meal
33,2023/03/15,Wed,Brunei,Chicken Nuggets — Ala Carte,6.30,4.68,Regular Value Meal
34,2023/03/15,Wed,Brunei,Chicken Nuggets — Medium,6.80,5.05,Regular Value Meal
35,2023/03/15,Wed,Brunei,Chicken Nuggets — Large,7.40,5.50,Regular Value Meal
36,2023/03/15,Wed,Brunei,Triple Cheeseburger (A La Carte),7.00,5.20,Regular Value Meal
37,2023/03/15,Wed,Brunei,Triple Cheeseburger — Medium,8.10,6.02,Regular Value Meal
38,2023/03/15,Wed,Brunei,Triple Cheeseburger — Large,8.70,6.47,Regular Value Meal
39,2023/03/15,Wed,Brunei,6 Pcs Fish Nuggets,4.30,3.20,Sides
40,2023/03/15,Wed,Brunei,9 Pcs Fish Nuggets,6.00,4.46,Sides
41,2023/03/15,Wed,Brunei,20 Pcs Fish Nuggets,11.90,8.84,Sides
42,2023/03/15,Wed,Brunei,Fish Bites,2.20,1.64,Sides
43,2023/03/15,Wed,Brunei,2pcs Ayam Goreng McD,5.30,3.94,Sides
44,2023/03/15,Wed,Brunei,5pcs Ayam Goreng McD,12.00,8.92,Sides
45,2023/03/15,Wed,Brunei,9pcs Ayam Goreng McD,21.80,16.20,Sides
46,2023/03/15,Wed,Brunei,Rice,0.80,0.59,Sides
47,2023/03/15,Wed,Brunei,French Fries — Medium,2.20,1.64,Sides
48,2023/03/15,Wed,Brunei,French Fries — Large,2.50,1.86,Sides
49,2023/03/15,Wed,Brunei,Cakoi — 1 Pc,1.50,1.11,Sides
50,2023/03/15,Wed,Brunei,Cakoi — 2 Pc,2.80,2.08,Sides
