,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/06/08,Wed,Philippines,Breakfast Sandwich Duo,249.00,4.71,McDelivery Exclusives,Breakfast
2,2022/06/08,Wed,Philippines,Breakfast Rice Bowl Duo,289.00,5.47,McDelivery Exclusives,Breakfast
3,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.71,McDelivery Exclusives,All Day
4,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.71,McDelivery Exclusives,All Day
5,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.71,McDelivery Exclusives,All Day
6,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.71,McDelivery Exclusives,All Day
7,2022/06/08,Wed,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,180.00,3.41,McDelivery Exclusives,All Day
8,2022/06/08,Wed,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,167.00,3.16,McDelivery Exclusives,All Day
9,2022/06/08,Wed,Philippines,6-pc. Chicken McShare Box,330.00,6.25,Featured,All Day
10,2022/06/08,Wed,Philippines,Breakfast Sandwich Duo,249.00,4.71,Featured,Breakfast
11,2022/06/08,Wed,Philippines,Breakfast Rice Bowl Duo,289.00,5.47,Featured,Breakfast
12,2022/06/08,Wed,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.08,Featured,All Day
13,2022/06/08,Wed,Philippines,BFF Fries,135.00,2.55,Featured,All Day
14,2022/06/08,Wed,Philippines,McCafe Caramel Popcorn Coffee Float,78.00,1.48,Featured,All Day
15,2022/06/08,Wed,Philippines,Caramel Popcorn Coke McFloat,47.00,0.89,Featured,All Day
16,2022/06/08,Wed,Philippines,6-pc. Chicken McShare Box,330.00,6.25,Group Meals,All Day
17,2022/06/08,Wed,Philippines,8-pc. Chicken McShare Box,440.00,8.33,Group Meals,All Day
18,2022/06/08,Wed,Philippines,BFF Fries N' McFloat Combo,222.00,4.20,Group Meals,All Day
19,2022/06/08,Wed,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,237.00,4.49,Group Meals,All Day
20,2022/06/08,Wed,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,237.00,4.49,Group Meals,All Day
21,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.71,Group Meals,All Day
22,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.71,Group Meals,All Day
23,2022/06/08,Wed,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.71,Group Meals,All Day
