,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/05/19,Thu,Philippines,6-pc. Chicken McShare Box,330.00,6.30,Featured,Regular
2,2022/05/19,Thu,Philippines,K-Chicken Small Meal,195.00,3.72,Featured,Regular
3,2022/05/19,Thu,Philippines,Ebi Burger Small Meal,195.00,3.72,Featured,Regular
4,2022/05/19,Thu,Philippines,Ultimate Burger McShare,499.00,9.53,Featured,Regular
5,2022/05/19,Thu,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.09,Featured,Regular
6,2022/05/19,Thu,Philippines,McCafe Caramel Popcorn Coffee Float,78.00,1.49,Featured,Regular
7,2022/05/19,Thu,Philippines,Caramel Popcorn Coke McFloat,47.00,0.90,Featured,Regular
8,2022/05/19,Thu,Philippines,Ultimate Burger McShare,499.00,9.53,Group Meals,Regular
9,2022/05/19,Thu,Philippines,6-pc. Chicken McShare Box,330.00,6.30,Group Meals,Regular
10,2022/05/19,Thu,Philippines,8-pc. Chicken McShare Box,440.00,8.40,Group Meals,Regular
11,2022/05/19,Thu,Philippines,McSpaghetti Platter,220.00,4.20,Group Meals,Regular
12,2022/05/19,Thu,Philippines,10-pc. Chicken McNuggets,190.00,3.63,Group Meals,Regular
13,2022/05/19,Thu,Philippines,20-pc. Chicken McNuggets,370.00,7.07,Group Meals,Regular
14,2022/05/19,Thu,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.76,Group Meals,Regular
15,2022/05/19,Thu,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.76,Group Meals,Regular
16,2022/05/19,Thu,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.76,Group Meals,Regular
17,2022/05/19,Thu,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.76,Group Meals,Regular
18,2022/05/19,Thu,Philippines,10-pc. Chicken McShare Box,550.00,10.50,Group Meals,Regular
19,2022/05/19,Thu,Philippines,15-pc. Chicken McShare Box,825.00,15.76,Group Meals,Regular
20,2022/05/19,Thu,Philippines,20-pc. Chicken McShare Box,1100.00,21.01,Group Meals,Regular
21,2022/05/19,Thu,Philippines,40-pc. Chicken McNuggets,740.00,14.13,Group Meals,Regular
22,2022/05/19,Thu,Philippines,60-pc. Chicken McNuggets,1110.00,21.20,Group Meals,Regular
23,2022/05/19,Thu,Philippines,80-pc. Chicken McNuggets,1480.00,28.26,Group Meals,Regular
24,2022/05/19,Thu,Philippines,McSpaghetti Platter Good for 10,440.00,8.40,Group Meals,Regular
25,2022/05/19,Thu,Philippines,McSpaghetti Platter Good for 15,660.00,12.60,Group Meals,Regular
26,2022/05/19,Thu,Philippines,McSpaghetti Platter Good for 20,880.00,16.81,Group Meals,Regular
27,2022/05/19,Thu,Philippines,Plain Rice Good for 10,245.00,4.68,Group Meals,Regular
28,2022/05/19,Thu,Philippines,Plain Rice Good for 15,360.00,6.88,Group Meals,Regular
29,2022/05/19,Thu,Philippines,Plain Rice Good for 20,475.00,9.07,Group Meals,Regular
30,2022/05/19,Thu,Philippines,Mega Meal - Spicy Chicken McDo w/ McSpaghetti & Sundae,173.00,3.30,Chicken,Regular
31,2022/05/19,Thu,Philippines,1-pc. Chicken McDo & Fries Meal,110.00,2.10,Chicken,Regular
32,2022/05/19,Thu,Philippines,1-pc. Spicy Chicken McDo & Fries Meal,113.00,2.16,Chicken,Regular
33,2022/05/19,Thu,Philippines,2-pc. Chicken McDo Meal,189.00,3.61,Chicken,Regular
34,2022/05/19,Thu,Philippines,2-pc. Spicy Chicken McDo Meal,192.00,3.67,Chicken,Regular
35,2022/05/19,Thu,Philippines,1-pc. Spicy Chicken McDo Meal,116.00,2.22,Chicken,Regular
