,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2022/06/08,Wed,South Korea,McCrispy™ Deluxe Burger,8800.00,7.01,Specials,Regular Menu
2,2022/06/08,Wed,South Korea,McCrispy™ Classic Burger,8000.00,6.37,Specials,Regular Menu
3,2022/06/08,Wed,South Korea,LEGOLAND® Together pack,17000.00,13.54,Specials,Regular Menu
4,2022/06/08,Wed,South Korea,Hershey's Pretzel McFlurry,3600.00,2.87,Specials,Regular Menu
5,2022/06/08,Wed,South Korea,McDelivery Big mac® Plus Pack,13000.00,10.35,Specials,Regular Menu
6,2022/06/08,Wed,South Korea,McDelivery Shanghai Burger Plus Pack,13000.00,10.35,Specials,Regular Menu
7,2022/06/08,Wed,South Korea,Triple Cheeseburger,8100.00,6.45,Specials,Regular Menu
8,2022/06/08,Wed,South Korea,McWings™ 2pc,3700.00,2.95,Specials,Regular Menu
9,2022/06/08,Wed,South Korea,Sausage Snack Wrap,3200.00,2.55,Specials,Regular Menu
10,2022/06/08,Wed,South Korea,Cherry McFizz with Coke,2600.00,2.07,Specials,Regular Menu
11,2022/06/08,Wed,South Korea,Cherry McFizz with Sprite,2600.00,2.07,Specials,Regular Menu
12,2022/06/08,Wed,South Korea,Jeju Hallabong Chiller,3600.00,2.87,Specials,Regular Menu
13,2022/06/08,Wed,South Korea,Apple Mango Chiller,3600.00,2.87,Specials,Regular Menu
14,2022/06/08,Wed,South Korea,Plum Chiller,3600.00,2.87,Specials,Regular Menu
15,2022/06/08,Wed,South Korea,Vanilla Latte,4000.00,3.19,Specials,Regular Menu
16,2022/06/08,Wed,South Korea,Cherry McFizz with Coke,2600.00,2.07,Specials,Breakfast Menu
17,2022/06/08,Wed,South Korea,Cherry McFizz with Sprite,2600.00,2.07,Specials,Breakfast Menu
18,2022/06/08,Wed,South Korea,Bacon Tomato Egg Soft Bun,5800.00,4.62,Specials,Breakfast Menu
19,2022/06/08,Wed,South Korea,Sausage Tomato Egg Soft Bun,6000.00,4.78,Specials,Breakfast Menu
20,2022/06/08,Wed,South Korea,Hershey's Pretzel McFlurry,3600.00,2.87,Specials,Breakfast Menu
21,2022/06/08,Wed,South Korea,BLT Egg Muffin,5700.00,4.54,Specials,Breakfast Menu
22,2022/06/08,Wed,South Korea,Sausage Snack Wrap,3200.00,2.55,Specials,Breakfast Menu
23,2022/06/08,Wed,South Korea,Bacon & Egg McMuffin,5200.00,4.14,Specials,Breakfast Menu
24,2022/06/08,Wed,South Korea,Sausage & Egg McMuffin,5400.00,4.30,Specials,Breakfast Menu
25,2022/06/08,Wed,South Korea,Jeju Hallabong Chiller,3600.00,2.87,Specials,Breakfast Menu
26,2022/06/08,Wed,South Korea,Apple Mango Chiller,3600.00,2.87,Specials,Breakfast Menu
27,2022/06/08,Wed,South Korea,Vanilla Latte,4000.00,3.19,Specials,Breakfast Menu
28,2022/06/08,Wed,South Korea,McCrispy™ Deluxe Burger,7200.00,5.73,Ala Carte & Value Meals,Regular Menu
29,2022/06/08,Wed,South Korea,McCrispy™ Classic Burger,6400.00,5.10,Ala Carte & Value Meals,Regular Menu
30,2022/06/08,Wed,South Korea,LEGOLAND® Together pack,17000.00,13.54,Ala Carte & Value Meals,Regular Menu
31,2022/06/08,Wed,South Korea,McDelivery Big mac® Plus Pack,13000.00,10.35,Ala Carte & Value Meals,Regular Menu
32,2022/06/08,Wed,South Korea,McDelivery Shanghai Burger Plus Pack,13000.00,10.35,Ala Carte & Value Meals,Regular Menu
33,2022/06/08,Wed,South Korea,Triple Cheeseburger,6400.00,5.10,Ala Carte & Value Meals,Regular Menu
34,2022/06/08,Wed,South Korea,Double Bulgogi Burger,5200.00,4.14,Ala Carte & Value Meals,Regular Menu
35,2022/06/08,Wed,South Korea,Big Mac®,5400.00,4.30,Ala Carte & Value Meals,Regular Menu
36,2022/06/08,Wed,South Korea,McSpicy® Shanghai Burger,5600.00,4.46,Ala Carte & Value Meals,Regular Menu
37,2022/06/08,Wed,South Korea,1955® Burger,6500.00,5.18,Ala Carte & Value Meals,Regular Menu
38,2022/06/08,Wed,South Korea,McChicken® Mozzarella,5600.00,4.46,Ala Carte & Value Meals,Regular Menu
39,2022/06/08,Wed,South Korea,Double Filet-O-Fish,5800.00,4.62,Ala Carte & Value Meals,Regular Menu
40,2022/06/08,Wed,South Korea,Filet-O-Fish,4300.00,3.42,Ala Carte & Value Meals,Regular Menu
41,2022/06/08,Wed,South Korea,McChicken®,4100.00,3.27,Ala Carte & Value Meals,Regular Menu
42,2022/06/08,Wed,South Korea,Egg Bulgogi Burger,4000.00,3.19,Ala Carte & Value Meals,Regular Menu
43,2022/06/08,Wed,South Korea,Bulgogi Burger,3100.00,2.47,Ala Carte & Value Meals,Regular Menu
44,2022/06/08,Wed,South Korea,Supreme Shrimp Burger,5300.00,4.22,Ala Carte & Value Meals,Regular Menu
45,2022/06/08,Wed,South Korea,Shrimp Beef Burger,6300.00,5.02,Ala Carte & Value Meals,Regular Menu
46,2022/06/08,Wed,South Korea,Bacon Tomato Deluxe,6300.00,5.02,Ala Carte & Value Meals,Regular Menu
47,2022/06/08,Wed,South Korea,Double Quarter Pounder® with Cheese,7800.00,6.21,Ala Carte & Value Meals,Regular Menu
48,2022/06/08,Wed,South Korea,Quarter Pounder® with Cheese,6000.00,4.78,Ala Carte & Value Meals,Regular Menu
49,2022/06/08,Wed,South Korea,Cheeseburger,3100.00,2.47,Ala Carte & Value Meals,Regular Menu
50,2022/06/08,Wed,South Korea,Double Cheeseburger,5200.00,4.14,Ala Carte & Value Meals,Regular Menu
51,2022/06/08,Wed,South Korea,Hamburger,2800.00,2.23,Ala Carte & Value Meals,Regular Menu
52,2022/06/08,Wed,South Korea,McWings™ 2pc,3700.00,2.95,Snacks & Sides,Regular Menu
53,2022/06/08,Wed,South Korea,McWings™ 4pc,6300.00,5.02,Snacks & Sides,Regular Menu
54,2022/06/08,Wed,South Korea,McWings™ 8pc,11700.00,9.32,Snacks & Sides,Regular Menu
55,2022/06/08,Wed,South Korea,McWings™ 2 pc Combo,4400.00,3.50,Snacks & Sides,Regular Menu
56,2022/06/08,Wed,South Korea,McWings™ 4 pc Combo,7000.00,5.57,Snacks & Sides,Regular Menu
57,2022/06/08,Wed,South Korea,Sausage Snack Wrap,3200.00,2.55,Snacks & Sides,Regular Menu
58,2022/06/08,Wed,South Korea,Shanghai chicken snack wrap,3000.00,2.39,Snacks & Sides,Regular Menu
59,2022/06/08,Wed,South Korea,Coleslaw,2700.00,2.15,Snacks & Sides,Regular Menu
60,2022/06/08,Wed,South Korea,Apple Pie,1900.00,1.51,Snacks & Sides,Regular Menu
61,2022/06/08,Wed,South Korea,Golden Mozzarella Cheese Sticks 4pcs,4800.00,3.82,Snacks & Sides,Regular Menu
62,2022/06/08,Wed,South Korea,Golden Mozzarella Cheese Sticks 2pcs,3100.00,2.47,Snacks & Sides,Regular Menu
63,2022/06/08,Wed,South Korea,McNuggets® 10pc,5300.00,4.22,Snacks & Sides,Regular Menu
64,2022/06/08,Wed,South Korea,McNuggets® 6pc,3800.00,3.03,Snacks & Sides,Regular Menu
65,2022/06/08,Wed,South Korea,McNuggets® 4pc,2800.00,2.23,Snacks & Sides,Regular Menu
66,2022/06/08,Wed,South Korea,McSpicy® Chicken Tenders 4pc,5700.00,4.54,Snacks & Sides,Regular Menu
67,2022/06/08,Wed,South Korea,McSpicy® Chicken Tenders 2pc,3300.00,2.63,Snacks & Sides,Regular Menu
68,2022/06/08,Wed,South Korea,French Fries,2500.00,1.99,Snacks & Sides,Regular Menu
69,2022/06/08,Wed,South Korea,String Cheese,2400.00,1.91,Snacks & Sides,Regular Menu
70,2022/06/08,Wed,South Korea,Add Sweet Sour Sauce,300.00,0.24,Snacks & Sides,Regular Menu
71,2022/06/08,Wed,South Korea,Add Sweet Chili Sauce,300.00,0.24,Snacks & Sides,Regular Menu
72,2022/06/08,Wed,South Korea,Add Cajun Sauce,300.00,0.24,Snacks & Sides,Regular Menu
73,2022/06/08,Wed,South Korea,Cherry McFizz with Coke,2600.00,2.07,Beverages,Regular Menu
74,2022/06/08,Wed,South Korea,Cherry McFizz with Sprite,2600.00,2.07,Beverages,Regular Menu
75,2022/06/08,Wed,South Korea,Jeju Hallabong Chiller,3600.00,2.87,Beverages,Regular Menu
76,2022/06/08,Wed,South Korea,Apple Mango Chiller,3600.00,2.87,Beverages,Regular Menu
77,2022/06/08,Wed,South Korea,Plum Chiller,3600.00,2.87,Beverages,Regular Menu
78,2022/06/08,Wed,South Korea,Vanilla Latte,4000.00,3.19,Beverages,Regular Menu
79,2022/06/08,Wed,South Korea,Café Latte,3500.00,2.79,Beverages,Regular Menu
80,2022/06/08,Wed,South Korea,Cappuccino,3500.00,2.79,Beverages,Regular Menu
81,2022/06/08,Wed,South Korea,Americano,3100.00,2.47,Beverages,Regular Menu
82,2022/06/08,Wed,South Korea,Espresso,2200.00,1.75,Beverages,Regular Menu
83,2022/06/08,Wed,South Korea,Drip Coffee,2400.00,1.91,Beverages,Regular Menu
84,2022/06/08,Wed,South Korea,Iced Vanilla Latte,4000.00,3.19,Beverages,Regular Menu
