,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2025/05/08,Thu,South Korea,Bacon Tomato Deluxe Guacamole Double,11200.00,8.05,Specials,Regular Menu
2,2025/05/08,Thu,South Korea,Bacon Tomato Deluxe Guacamole Single,10100.00,7.26,Specials,Regular Menu
3,2025/05/08,Thu,South Korea,A Minecraft Movie Meal,7800.00,5.60,Specials,Regular Menu
4,2025/05/08,Thu,South Korea,Double 1955® Burger,12800.00,9.19,Specials,Regular Menu
5,2025/05/08,Thu,South Korea,Double McSpicy® Shanghai Burger,12200.00,8.76,Specials,Regular Menu
6,2025/05/08,Thu,South Korea,Double Quarter Pounder® with Cheese,10600.00,7.61,Specials,Regular Menu
7,2025/05/08,Thu,South Korea,Tomato Cheese Beef Burger,6900.00,4.96,Specials,Regular Menu
8,2025/05/08,Thu,South Korea,Quarter Pounder® with Cheese,8900.00,6.39,Specials,Regular Menu
9,2025/05/08,Thu,South Korea,McCrispy™ Deluxe Burger,9400.00,6.75,Specials,Regular Menu
10,2025/05/08,Thu,South Korea,McCrispy™ Classic Burger,8700.00,6.25,Specials,Regular Menu
11,2025/05/08,Thu,South Korea,Big Mac®,8700.00,6.25,Specials,Regular Menu
12,2025/05/08,Thu,South Korea,1955 Snack Wrap,3800.00,2.73,Specials,Regular Menu
13,2025/05/08,Thu,South Korea,Mango Peach Iced Tea,4100.00,2.95,Specials,Regular Menu
14,2025/05/08,Thu,South Korea,Peach Iced Tea,3600.00,2.59,Specials,Regular Menu
15,2025/05/08,Thu,South Korea,Vanilla Latte,4500.00,3.23,Specials,Regular Menu
16,2025/05/08,Thu,South Korea,Bacon Egg McGriddles,7000.00,5.03,Specials,Breakfast Menu
17,2025/05/08,Thu,South Korea,Sausage Egg McGriddles,7300.00,5.24,Specials,Breakfast Menu
18,2025/05/08,Thu,South Korea,Sausage & Egg McMuffin,6200.00,4.45,Specials,Breakfast Menu
19,2025/05/08,Thu,South Korea,Bacon & Egg McMuffin,5900.00,4.24,Specials,Breakfast Menu
20,2025/05/08,Thu,South Korea,BLT Egg Muffin,7000.00,5.03,Specials,Breakfast Menu
21,2025/05/08,Thu,South Korea,Mango Peach Iced Tea,4100.00,2.95,Specials,Breakfast Menu
22,2025/05/08,Thu,South Korea,Peach Iced Tea,3600.00,2.59,Specials,Breakfast Menu
23,2025/05/08,Thu,South Korea,Iced Americano (No Syrup),3300.00,2.37,Specials,Breakfast Menu
24,2025/05/08,Thu,South Korea,Vanilla Latte,4500.00,3.23,Specials,Breakfast Menu
25,2025/05/08,Thu,South Korea,Bacon Tomato Deluxe Guacamole Double,9100.00,6.54,Ala Carte & Value Meals,Regular Menu
26,2025/05/08,Thu,South Korea,Bacon Tomato Deluxe Guacamole Single,8000.00,5.75,Ala Carte & Value Meals,Regular Menu
27,2025/05/08,Thu,South Korea,A Minecraft Movie Meal,7800.00,5.60,Ala Carte & Value Meals,Regular Menu
28,2025/05/08,Thu,South Korea,Double 1955® Burger,10300.00,7.40,Ala Carte & Value Meals,Regular Menu
29,2025/05/08,Thu,South Korea,Double McSpicy® Shanghai Burger,9700.00,6.97,Ala Carte & Value Meals,Regular Menu
30,2025/05/08,Thu,South Korea,Double Quarter Pounder® with Cheese,8200.00,5.89,Ala Carte & Value Meals,Regular Menu
31,2025/05/08,Thu,South Korea,Quarter Pounder® with Cheese,6300.00,4.53,Ala Carte & Value Meals,Regular Menu
32,2025/05/08,Thu,South Korea,McSpicy® Shanghai Burger,6300.00,4.53,Ala Carte & Value Meals,Regular Menu
33,2025/05/08,Thu,South Korea,Tomato Cheese Beef Burger,4600.00,3.30,Ala Carte & Value Meals,Regular Menu
34,2025/05/08,Thu,South Korea,McCrispy™ Deluxe Burger,7600.00,5.46,Ala Carte & Value Meals,Regular Menu
35,2025/05/08,Thu,South Korea,McCrispy™ Classic Burger,6700.00,4.81,Ala Carte & Value Meals,Regular Menu
36,2025/05/08,Thu,South Korea,Big Mac®,6300.00,4.53,Ala Carte & Value Meals,Regular Menu
37,2025/05/08,Thu,South Korea,Triple Cheeseburger,6700.00,4.81,Ala Carte & Value Meals,Regular Menu
38,2025/05/08,Thu,South Korea,1955® Burger,7200.00,5.17,Ala Carte & Value Meals,Regular Menu
39,2025/05/08,Thu,South Korea,McChicken® Mozzarella,5800.00,4.17,Ala Carte & Value Meals,Regular Menu
40,2025/05/08,Thu,South Korea,McChicken®,4300.00,3.09,Ala Carte & Value Meals,Regular Menu
41,2025/05/08,Thu,South Korea,Double Bulgogi Burger,5300.00,3.81,Ala Carte & Value Meals,Regular Menu
42,2025/05/08,Thu,South Korea,Bulgogi Burger,4400.00,3.16,Ala Carte & Value Meals,Regular Menu
43,2025/05/08,Thu,South Korea,Supreme Shrimp Burger,5500.00,3.95,Ala Carte & Value Meals,Regular Menu
44,2025/05/08,Thu,South Korea,Shrimp Beef Burger,6600.00,4.74,Ala Carte & Value Meals,Regular Menu
45,2025/05/08,Thu,South Korea,Bacon Tomato Deluxe,6600.00,4.74,Ala Carte & Value Meals,Regular Menu
46,2025/05/08,Thu,South Korea,Cheeseburger,3800.00,2.73,Ala Carte & Value Meals,Regular Menu
47,2025/05/08,Thu,South Korea,Double Cheeseburger,5600.00,4.02,Ala Carte & Value Meals,Regular Menu
48,2025/05/08,Thu,South Korea,Hamburger,3400.00,2.44,Ala Carte & Value Meals,Regular Menu
49,2025/05/08,Thu,South Korea,1955 Snack Wrap,3800.00,2.73,Snacks & Sides,Regular Menu
50,2025/05/08,Thu,South Korea,A Minecraft Movie Meal,7800.00,5.60,Snacks & Sides,Regular Menu
51,2025/05/08,Thu,South Korea,Shanghai chicken snack wrap,4300.00,3.09,Snacks & Sides,Regular Menu
52,2025/05/08,Thu,South Korea,Coleslaw,2700.00,1.94,Snacks & Sides,Regular Menu
53,2025/05/08,Thu,South Korea,Golden Mozzarella Cheese Sticks 4pcs,5300.00,3.81,Snacks & Sides,Regular Menu
54,2025/05/08,Thu,South Korea,Golden Mozzarella Cheese Sticks 2pcs,3600.00,2.59,Snacks & Sides,Regular Menu
55,2025/05/08,Thu,South Korea,McNuggets® 6pc,4700.00,3.38,Snacks & Sides,Regular Menu
56,2025/05/08,Thu,South Korea,McNuggets® 4pc,3400.00,2.44,Snacks & Sides,Regular Menu
57,2025/05/08,Thu,South Korea,McSpicy® Chicken Tenders 2pc,3500.00,2.51,Snacks & Sides,Regular Menu
58,2025/05/08,Thu,South Korea,French Fries,3300.00,2.37,Snacks & Sides,Regular Menu
59,2025/05/08,Thu,South Korea,Add Nether Flame Sauce,500.00,0.36,Snacks & Sides,Regular Menu
60,2025/05/08,Thu,South Korea,Add Sweet Sour Sauce,300.00,0.22,Snacks & Sides,Regular Menu
61,2025/05/08,Thu,South Korea,Add Sweet Chili Sauce,300.00,0.22,Snacks & Sides,Regular Menu
62,2025/05/08,Thu,South Korea,Add Cajun Sauce,300.00,0.22,Snacks & Sides,Regular Menu
63,2025/05/08,Thu,South Korea,Mango Peach Iced Tea,4100.00,2.95,Beverages,Regular Menu
64,2025/05/08,Thu,South Korea,Peach Iced Tea,3600.00,2.59,Beverages,Regular Menu
65,2025/05/08,Thu,South Korea,Coca-Cola,2600.00,1.87,Beverages,Regular Menu
66,2025/05/08,Thu,South Korea,Coca-Cola Zero,2600.00,1.87,Beverages,Regular Menu
67,2025/05/08,Thu,South Korea,Sprite,2600.00,1.87,Beverages,Regular Menu
68,2025/05/08,Thu,South Korea,Fanta,2600.00,1.87,Beverages,Regular Menu
69,2025/05/08,Thu,South Korea,Iced Vanilla Latte,4500.00,3.23,Beverages,Regular Menu
70,2025/05/08,Thu,South Korea,Iced Café Latte (No Syrup),4000.00,2.87,Beverages,Regular Menu
71,2025/05/08,Thu,South Korea,Iced Americano (No Syrup),3300.00,2.37,Beverages,Regular Menu
