,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2023/05/09,Tue,Thailand,McFried Chicken,89.00,2.63,New Promotions,Regular
2,2023/05/09,Tue,Thailand,Pink Blossom Tumbler,499.00,14.76,New Promotions,Regular
3,2023/05/09,Tue,Thailand,McFried Chicken Sook Songkran Set 1,319.00,9.43,New Promotions,Regular
4,2023/05/09,Tue,Thailand,Chicken Bites,59.00,1.74,New Promotions,Regular
5,2023/05/09,Tue,Thailand,Sharing Box Set (New),119.00,3.52,New Promotions,Regular
6,2023/05/09,Tue,Thailand,Party Snack Set 2 (New),219.00,6.48,New Promotions,Regular
7,2023/05/09,Tue,Thailand,3-Color Bualoy Sundae,45.00,1.33,New Promotions,Regular
8,2023/05/09,Tue,Thailand,Taro Coconut Pie,39.00,1.15,New Promotions,Regular
9,2023/05/09,Tue,Thailand,3-Color Bualoy A-La-Mode (Taro Coconut Pie),69.00,2.04,New Promotions,Regular
10,2023/05/09,Tue,Thailand,3-Color Bualoy A-La-Mode (Corn Pie),65.00,1.92,New Promotions,Regular
11,2023/05/09,Tue,Thailand,BFF Samurai & Filet-O-Fish,159.00,4.70,New Promotions,Regular
12,2023/05/09,Tue,Thailand,BFF Cheeseburger & Filet-O-Fish,159.00,4.70,New Promotions,Regular
13,2023/05/09,Tue,Thailand,BFF Samurai &McChicken,159.00,4.70,New Promotions,Regular
14,2023/05/09,Tue,Thailand,Samurai Sood Ko Set,289.00,8.55,New Promotions,Regular
15,2023/05/09,Tue,Thailand,Cheese Dip Tarm Jai,269.00,7.96,New Promotions,Regular
16,2023/05/09,Tue,Thailand,Truffle Beef Burger (A-la-carte),175.00,5.18,New Promotions,Regular
17,2023/05/09,Tue,Thailand,Truffle Beef Burger (Set),240.00,7.10,New Promotions,Regular
18,2023/05/09,Tue,Thailand,Truffle Pork Burger (A-la-carte),175.00,5.18,New Promotions,Regular
19,2023/05/09,Tue,Thailand,Truffle Pork Burger (Set),240.00,7.10,New Promotions,Regular
20,2023/05/09,Tue,Thailand,Combo Truffle Beef Burger,399.00,11.80,New Promotions,Regular
21,2023/05/09,Tue,Thailand,Family Truffle Beef Burger,399.00,11.80,New Promotions,Regular
22,2023/05/09,Tue,Thailand,Purple Bloom Tumbler,499.00,14.76,New Promotions,Regular
23,2023/05/09,Tue,Thailand,McFried Chicken Sook Songkran Set 2,419.00,12.39,New Promotions,Regular
24,2023/05/09,Tue,Thailand,1 pc. McFried Chicken (Original/Spicy),45.00,1.33,New Promotions,Regular
25,2023/05/09,Tue,Thailand,McFried Chicken Super Value Set,109.00,3.22,New Promotions,Regular
26,2023/05/09,Tue,Thailand,McFried Chicken Value Set,149.00,4.41,New Promotions,Regular
27,2023/05/09,Tue,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.63,New Promotions,Regular
