,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/01/14,Sun,Thailand,McFried Chicken Max Family Set,419.00,12.00,New Promotions
2,2024/01/14,Sun,Thailand,Duo Donut,100.00,2.86,New Promotions
3,2024/01/14,Sun,Thailand,Prosperity Pork Burger A-la-carte,129.00,3.69,New Promotions
4,2024/01/14,Sun,Thailand,Prosperity Pork Burger Set,195.00,5.59,New Promotions
5,2024/01/14,Sun,Thailand,Prosperity Chicken Burger A-la-carte,129.00,3.69,New Promotions
6,2024/01/14,Sun,Thailand,Prosperity Chicken Burger Set,195.00,5.59,New Promotions
7,2024/01/14,Sun,Thailand,Prosperity Burger Combo Set,319.00,9.14,New Promotions
8,2024/01/14,Sun,Thailand,Sweet Egg Floss Pinky Cream Pie,39.00,1.12,New Promotions
9,2024/01/14,Sun,Thailand,McFlurry Kiss,59.00,1.69,New Promotions
10,2024/01/14,Sun,Thailand,Prosperity Pork Burger + Hello Kitty Tote Bag,499.00,14.29,New Promotions
11,2024/01/14,Sun,Thailand,Prosperity Chicken Burger + Hello Kitty Tote Bag,499.00,14.29,New Promotions
12,2024/01/14,Sun,Thailand,Curly Fries,99.00,2.84,New Promotions
13,2024/01/14,Sun,Thailand,KitKat Chocolate Frappe,99.00,2.84,New Promotions
14,2024/01/14,Sun,Thailand,KitKat Mocha Frappe,99.00,2.84,New Promotions
15,2024/01/14,Sun,Thailand,Blue Winter Tumbler,599.00,17.16,New Promotions
16,2024/01/14,Sun,Thailand,Red Rudolph Tumbler,599.00,17.16,New Promotions
17,2024/01/14,Sun,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.55,Exclusive Only McDelivery
18,2024/01/14,Sun,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.55,Exclusive Only McDelivery
19,2024/01/14,Sun,Thailand,Samurai & Filet Set,289.00,8.28,Exclusive Only McDelivery
20,2024/01/14,Sun,Thailand,99 Cheeseburger Set,99.00,2.84,Exclusive Only McDelivery
21,2024/01/14,Sun,Thailand,99 Hamburger Set,99.00,2.84,Exclusive Only McDelivery
22,2024/01/14,Sun,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.84,Exclusive Only McDelivery
23,2024/01/14,Sun,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.84,Exclusive Only McDelivery
24,2024/01/14,Sun,Thailand,99 Pork Burger Set,99.00,2.84,Exclusive Only McDelivery
25,2024/01/14,Sun,Thailand,Im Kum Samurai Burger (Pork) Set,159.00,4.55,Exclusive Only McDelivery
26,2024/01/14,Sun,Thailand,50% McNugget Set,146.00,4.18,Exclusive Only McDelivery
27,2024/01/14,Sun,Thailand,3 pcs. McPatongko with Condensed Milk Dip,45.00,1.29,Breakfast
28,2024/01/14,Sun,Thailand,5 pcs. McPatongko Set,69.00,1.98,Breakfast
29,2024/01/14,Sun,Thailand,Condensed Milk Dip,12.00,0.34,Breakfast
30,2024/01/14,Sun,Thailand,Hot Americano 8 oz.,65.00,1.86,Breakfast
31,2024/01/14,Sun,Thailand,Hot Latte 8 oz.,65.00,1.86,Breakfast
