,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/05/21,Tue,Thailand,Curly Fries,99.00,2.74,New Promotions
2,2024/05/21,Tue,Thailand,Curly Fries Party Size,179.00,4.96,New Promotions
3,2024/05/21,Tue,Thailand,Truffle Beef Burger A-la-carte,179.00,4.96,New Promotions
4,2024/05/21,Tue,Thailand,Truffle Beef Burger Set,240.00,6.65,New Promotions
5,2024/05/21,Tue,Thailand,Truffle Pork Burger A-la-carte,179.00,4.96,New Promotions
6,2024/05/21,Tue,Thailand,Truffle Pork Burger Set,240.00,6.65,New Promotions
7,2024/05/21,Tue,Thailand,3-Color Bualoy Sundae,45.00,1.25,New Promotions
8,2024/05/21,Tue,Thailand,Taro Coconut Pie,39.00,1.08,New Promotions
9,2024/05/21,Tue,Thailand,3-Color Bualoy A-La-Mode (Taro Coconut Pie),69.00,1.91,New Promotions
10,2024/05/21,Tue,Thailand,3-Color Bualoy A-La-Mode (Corn Pie),65.00,1.80,New Promotions
11,2024/05/21,Tue,Thailand,Set Picnic Box,550.00,15.23,New Promotions
12,2024/05/21,Tue,Thailand,Stackable Lunch Box,450.00,12.46,New Promotions
13,2024/05/21,Tue,Thailand,WcDonald's 10pcs McNuggets,129.00,3.57,New Promotions
14,2024/05/21,Tue,Thailand,McDonald's Set (10 pieces of McNuggets + medium french fries + 16 ounces Coke),179.00,4.96,New Promotions
15,2024/05/21,Tue,Thailand,WcDonald's 20pcs McNugget,249.00,6.89,New Promotions
16,2024/05/21,Tue,Thailand,WcDonald's 20 pcs McNuggets Set,299.00,8.28,New Promotions
17,2024/05/21,Tue,Thailand,WcDonald's All Star Set,419.00,11.60,New Promotions
18,2024/05/21,Tue,Thailand,BIC New Super Max,319.00,8.83,New Promotions
19,2024/05/21,Tue,Thailand,Duo Fries and Nuggets,99.00,2.74,New Promotions
20,2024/05/21,Tue,Thailand,Duo Bites and Pie,85.00,2.35,New Promotions
21,2024/05/21,Tue,Thailand,Duo Flurry,89.00,2.46,New Promotions
22,2024/05/21,Tue,Thailand,Duo Sundae,69.00,1.91,New Promotions
23,2024/05/21,Tue,Thailand,McDonald's Picnic Box Free Filet-O-Fish,450.00,12.46,New Promotions
24,2024/05/21,Tue,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.74,New Promotions
25,2024/05/21,Tue,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.74,New Promotions
26,2024/05/21,Tue,Thailand,McFried Chicken Max Family Set,419.00,11.60,New Promotions
27,2024/05/21,Tue,Thailand,McFlurry Kiss,59.00,1.63,New Promotions
28,2024/05/21,Tue,Thailand,Pepper Chicken Burger Duo,99.00,2.74,New Promotions
29,2024/05/21,Tue,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.40,Exclusive Only McDelivery
30,2024/05/21,Tue,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.40,Exclusive Only McDelivery
